horizon,arm,origin,seed,val_RMSE,test_RMSE,test_MAE,pers_RMSE,pers_MAE,elapsed
3,direct,0.85,2,26.01172637939453,34.59960174560547,19.765274047851562,30.963665008544922,15.473650932312012,73.4
3,physics,0.85,1,22.028932571411133,30.64976692199707,14.902207374572754,30.963665008544922,15.473650932312012,192.4
3,physics,0.85,0,20.781137466430664,30.024553298950195,14.485751152038574,30.963665008544922,15.473650932312012,264.2
3,physics,0.85,2,21.651891708374023,30.563852310180664,14.762115478515625,30.963665008544922,15.473650932312012,292.3
3,direct,0.9,0,30.29469108581543,43.97294235229492,23.552827835083008,32.859073638916016,17.084285736083984,123.6
3,direct,0.9,1,28.978891372680664,41.394874572753906,23.507408142089844,32.859073638916016,17.084285736083984,79.9
3,physics,0.9,1,29.557266235351562,34.16779327392578,17.67563819885254,32.859073638916016,17.084285736083984,183.0
3,physics,0.9,0,28.943485260009766,31.387426376342773,16.215333938598633,32.859073638916016,17.084285736083984,236.5
3,direct,0.9,2,30.99280548095703,39.109230041503906,21.54120445251465,32.859073638916016,17.084285736083984,59.4
3,physics,0.9,2,29.240997314453125,32.1783447265625,16.739261627197266,32.859073638916016,17.084285736083984,237.8
6,direct,0.5,2,35.330039978027344,34.3892822265625,17.283187866210938,27.115915298461914,14.110370635986328,82.5
6,direct,0.5,0,36.86145782470703,31.25115394592285,15.507723808288574,27.115915298461914,14.110370635986328,87.5
6,direct,0.5,1,34.66566848754883,31.312999725341797,15.651253700256348,27.115915298461914,14.110370635986328,100.2
6,physics,0.5,1,30.82073402404785,27.255985260009766,14.519556999206543,27.115915298461914,14.110370635986328,108.9
6,physics,0.5,2,30.72041893005371,27.52814292907715,14.229965209960938,27.115915298461914,14.110370635986328,109.4
6,physics,0.5,0,29.674907684326172,26.339277267456055,13.581404685974121,27.115915298461914,14.110370635986328,140.8
6,physics,0.55,1,26.273502349853516,64.99104309082031,29.575054168701172,61.45473861694336,28.164762496948242,90.9
6,direct,0.55,0,29.433120727539062,95.77352905273438,48.440242767333984,61.45473861694336,28.164762496948242,76.6
6,physics,0.55,2,26.27524185180664,67.50373077392578,30.816232681274414,61.45473861694336,28.164762496948242,97.1
6,direct,0.55,1,27.814647674560547,81.74942016601562,43.604366302490234,61.45473861694336,28.164762496948242,90.3
6,physics,0.55,0,25.404945373535156,65.3165283203125,29.90979766845703,61.45473861694336,28.164762496948242,129.8
6,direct,0.55,2,28.591415405273438,86.82727813720703,44.93637466430664,61.45473861694336,28.164762496948242,89.7
6,physics,0.6,0,66.9383773803711,81.64702606201172,39.57040023803711,69.12430572509766,34.38666534423828,88.1
6,direct,0.6,1,73.30992126464844,112.97370910644531,58.60124206542969,69.12430572509766,34.38666534423828,64.8
