arm,origin,seed,val_RMSE,test_RMSE,test_MAE,bias,pers_RMSE,pers_MAE,elapsed,cap_c,damp_alpha
waning_26w,0.8,1,28.144451141357422,20.83419418334961,12.576275825500488,0.2716980278491974,21.96774673461914,12.876190185546875,117.9,,
waning_26w,0.8,2,28.152685165405273,20.84279441833496,12.580460548400879,0.29565685987472534,21.96774673461914,12.876190185546875,123.2,,
waning_26w,0.75,0,15.031404495239258,30.48943328857422,11.371438980102539,0.5831736922264099,29.548784255981445,10.929333686828613,424.4,,
waning_26w,0.85,0,21.766342163085938,30.58566665649414,14.822956085205078,-3.0098068714141846,30.963665008544922,15.473650932312012,108.2,,
waning_26w,0.75,1,15.05691146850586,30.56783103942871,11.377877235412598,0.6189941167831421,29.548784255981445,10.929333686828613,424.1,,
waning_26w,0.85,1,21.759506225585938,30.585739135742188,14.82038688659668,-3.030197858810425,30.963665008544922,15.473650932312012,107.0,,
waning_26w,0.85,2,21.76640510559082,30.585500717163086,14.823040962219238,-3.0089900493621826,30.963665008544922,15.473650932312012,102.0,,
waning_26w,0.75,2,15.057145118713379,30.56827735900879,11.378506660461426,0.6194018721580505,29.548784255981445,10.929333686828613,420.4,,
waning_52w,0.5,0,25.196392059326172,20.80984878540039,11.526650428771973,-1.1502344608306885,20.270668029785156,11.64380931854248,74.1,,
waning_52w,0.5,1,24.898117065429688,20.23108673095703,11.261075019836426,-1.2073569297790527,20.270668029785156,11.64380931854248,70.2,,
waning_26w,0.9,0,29.506608963012695,31.8852596282959,16.536727905273438,-1.3948125839233398,32.859073638916016,17.084285736083984,93.5,,
waning_26w,0.9,1,29.50601577758789,31.88449478149414,16.529094696044922,-1.444437861442566,32.859073638916016,17.084285736083984,95.3,,
waning_26w,0.9,2,29.506147384643555,31.885236740112305,16.537010192871094,-1.3950531482696533,32.859073638916016,17.084285736083984,95.3,,
waning_52w,0.55,0,20.385828018188477,48.41508483886719,23.019346237182617,-12.42308235168457,45.49281311035156,22.0325927734375,74.4,,
waning_52w,0.6,0,43.55209732055664,57.282440185546875,30.713624954223633,20.905548095703125,48.71405792236328,23.578571319580078,59.0,,
waning_52w,0.6,1,43.06473159790039,55.25859069824219,29.421709060668945,18.877281188964844,48.71405792236328,23.578571319580078,60.8,,
waning_52w,0.55,1,19.740718841552734,49.23345947265625,23.137514114379883,-12.933379173278809,45.49281311035156,22.0325927734375,76.7,,
waning_52w,0.55,2,20.314607620239258,48.06848907470703,22.81741714477539,-11.605896949768066,45.49281311035156,22.0325927734375,83.0,,
waning_52w,0.6,2,43.38414764404297,58.91586685180664,31.596717834472656,22.03938865661621,48.71405792236328,23.578571319580078,60.9,,
waning_52w,0.65,1,48.44472885131836,11.899100303649902,5.391711711883545,0.36214563250541687,11.340509414672852,5.244285583496094,78.3,,
waning_52w,0.5,2,25.058563232421875,20.995481491088867,12.094464302062988,1.7780166864395142,20.270668029785156,11.64380931854248,272.1,,
waning_52w,0.7,0,12.080768585205078,15.5338716506958,6.420912742614746,0.2140321582555771,15.7118501663208,6.584691524505615,170.2,,
waning_52w,0.7,2,11.784276008605957,16.49366569519043,6.760167598724365,1.8303282260894775,15.7118501663208,6.584691524505615,108.8,,
waning_52w,0.65,0,46.827056884765625,11.730755805969238,5.28314208984375,0.12664715945720673,11.340509414672852,5.244285583496094,212.2,,
waning_52w,0.8,0,28.403385162353516,21.141544342041016,12.724532127380371,1.0203815698623657,21.96774673461914,12.876190185546875,96.7,,
waning_52w,0.75,1,15.951735496520996,29.63422393798828,11.564491271972656,-0.5626685619354248,29.548784255981445,10.929333686828613,145.7,,
waning_52w,0.75,0,15.90968132019043,30.617259979248047,11.568924903869629,0.030763061717152596,29.548784255981445,10.929333686828613,191.3,,
waning_52w,0.7,1,11.40388011932373,15.862387657165527,6.497164249420166,1.0500041246414185,15.7118501663208,6.584691524505615,319.4,,
waning_52w,0.65,2,46.11741256713867,11.738137245178223,5.391617298126221,0.5937247276306152,11.340509414672852,5.244285583496094,374.3,,
waning_52w,0.75,2,15.860452651977539,29.846435546875,11.505081176757812,0.7715309858322144,29.548784255981445,10.929333686828613,197.6,,
