variant,origin,seed,val_RMSE,val_MAE,test_RMSE,test_MAE,pred_mean,truth_mean,epochs_used,elapsed,cfg_arch,cfg_inputs,cfg_norm,cfg_proj,cfg_head,cfg_horizon_lam,cfg_coupling,cfg_sim,cfg_state,cfg_loss,cfg_omega,cfg_gamma,cfg_rho,cfg_s0,cfg_lambda_max,cfg_epochs,cfg_lr,cfg_hidden,cfg_depletion,cfg_learn_rho,cfg_learn_rates,learned_rho_mult,learned_omega,learned_gamma,cfg_beta_district,cfg_seasonal,cfg_mod_clamp,learned_e_scale,learned_i_scale,cfg_learn_state
e400_mass_pw@9,0.55,2,19.466161727905273,10.886558532714844,46.71873092651367,22.664966583251953,64.30143737792969,78.3367919921875,400,73.0,STGAT,cases,orig,linear1,mass,per_week,implicit,open,flow,mse,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,400,0.003,0,0.0,True,True,0.38889825344085693,0.11552392691373825,0.3360538184642792,False,False,2.0,,,
e400_mass_pw@9,0.55,1,19.505939483642578,10.899012565612793,47.00067138671875,22.850435256958008,63.703269958496094,78.3367919921875,400,73.4,STGAT,cases,orig,linear1,mass,per_week,implicit,open,flow,mse,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,400,0.003,0,0.0,True,True,0.3705674707889557,0.11859212815761566,0.34842193126678467,False,False,2.0,,,
e400_mass_pw@9,0.65,2,46.94013977050781,22.57474136352539,11.297661781311035,4.931765556335449,11.89614486694336,12.624285697937012,358,76.8,STGAT,cases,orig,linear1,mass,per_week,implicit,open,flow,mse,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,400,0.003,0,0.0,True,True,0.4615365266799927,0.10190562903881073,0.29232609272003174,False,False,2.0,,,
e400_mass_pw@9,0.65,0,47.31293869018555,23.213687896728516,11.24750804901123,5.083381175994873,12.57237720489502,12.624285697937012,400,85.5,STGAT,cases,orig,linear1,mass,per_week,implicit,open,flow,mse,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,400,0.003,0,0.0,True,True,0.304413378238678,0.13326917588710785,0.3501899242401123,False,False,2.0,,,
e400_mass_pw@9,0.65,1,46.537872314453125,21.76425552368164,11.345067024230957,4.870074272155762,11.434720039367676,12.624285697937012,400,86.0,STGAT,cases,orig,linear1,mass,per_week,implicit,open,flow,mse,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,400,0.003,0,0.0,True,True,0.41536444425582886,0.1104881539940834,0.32020315527915955,False,False,2.0,,,
e400_mass_pw@9,0.7,0,11.61155891418457,5.248307704925537,15.063275337219238,6.236589431762695,13.282087326049805,14.039505958557129,400,85.9,STGAT,cases,orig,linear1,mass,per_week,implicit,open,flow,mse,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,400,0.003,0,0.0,True,True,0.3149791657924652,0.1318020224571228,0.35195794701576233,False,False,2.0,,,
e400_mass_pw@9,0.7,1,11.63574504852295,5.24989128112793,15.189787864685059,6.234042167663574,13.405060768127441,14.039505958557129,400,86.3,STGAT,cases,orig,linear1,mass,per_week,implicit,open,flow,mse,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,400,0.003,0,0.0,True,True,0.40284764766693115,0.11309725791215897,0.34135201573371887,False,False,2.0,,,
e400_mass_pw@9,0.7,2,11.635401725769043,5.220098495483398,15.129876136779785,6.221027374267578,13.220193862915039,14.039505958557129,400,86.1,STGAT,cases,orig,linear1,mass,per_week,implicit,open,flow,mse,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,400,0.003,0,0.0,True,True,0.3895755112171173,0.11575056612491608,0.3501899242401123,False,False,2.0,,,
e400_mass_pw@9,0.8,1,27.237499237060547,11.063426971435547,20.214969635009766,12.190313339233398,23.36252212524414,24.98047637939453,223,53.4,STGAT,cases,orig,linear1,mass,per_week,implicit,open,flow,mse,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,400,0.003,0,0.0,True,True,0.6227218508720398,0.07892804592847824,0.21821646392345428,False,False,2.0,,,
e400_mass_pw@9,0.8,2,27.20468521118164,11.048906326293945,20.20383644104004,12.182326316833496,23.284208297729492,24.98047637939453,232,55.3,STGAT,cases,orig,linear1,mass,per_week,implicit,open,flow,mse,0.09999999999999999,0.14285714285714285,0.09090909090909091,0.31799999999999995,0.14285714285714285,400,0.003,0,0.0,True,True,0.5981142520904541,0.08229546248912811,0.2228841483592987,False,False,2.0,,,
