arm,origin,seed,val_RMSE,test_RMSE,test_MAE,bias,pers_RMSE,pers_MAE,elapsed,damp_alpha
waning_damped,0.75,0,15.509581565856934,28.73700523376465,10.912596702575684,-1.0754390954971313,29.548784255981445,10.929333686828613,267.0,0.5253381729125977
waning_damped,0.85,0,20.882343292236328,30.320703506469727,14.7732515335083,-3.776895523071289,30.963665008544922,15.473650932312012,105.7,0.4733227491378784
waning_damped,0.85,1,20.898019790649414,30.371963500976562,14.780524253845215,-3.4719810485839844,30.963665008544922,15.473650932312012,103.6,0.4762614369392395
waning_damped,0.75,2,15.5036039352417,28.645919799804688,10.899086952209473,-1.1541098356246948,29.548784255981445,10.929333686828613,246.7,0.5024892091751099
waning_damped,0.85,2,20.88258934020996,30.320810317993164,14.773285865783691,-3.7768335342407227,30.963665008544922,15.473650932312012,106.5,0.47325870394706726
waning_damped,0.9,0,29.184490203857422,31.474300384521484,16.1956729888916,-2.328157424926758,32.859073638916016,17.084285736083984,106.5,0.47345802187919617
waning_damped,0.9,1,29.19824981689453,31.482383728027344,16.265243530273438,-1.7466270923614502,32.859073638916016,17.084285736083984,99.0,0.47905534505844116
waning_damped,0.9,2,29.184587478637695,31.47453498840332,16.195676803588867,-2.328749418258667,32.859073638916016,17.084285736083984,101.5,0.47338855266571045
oracle_w52,0.5,1,25.087894439697266,20.71394157409668,11.61061954498291,-0.6837612390518188,20.270668029785156,11.64380931854248,82.2,
oracle_w52,0.55,0,20.30648422241211,44.36631393432617,21.64528465270996,-9.794602394104004,45.49281311035156,22.0325927734375,62.4,
oracle_w52,0.55,1,20.08888816833496,44.425994873046875,21.659282684326172,-9.886731147766113,45.49281311035156,22.0325927734375,60.0,
oracle_w52,0.55,2,20.306642532348633,44.367515563964844,21.645898818969727,-9.796700477600098,45.49281311035156,22.0325927734375,53.3,
oracle_w52,0.6,0,41.258663177490234,58.89305877685547,30.943878173828125,20.994516372680664,48.71405792236328,23.578571319580078,36.9,
