label,fold,origin,seed,model,lambda_phys,gate_sigma,shrink_gamma,temporal,augment,n_train_windows,n_real_windows,n_test_weeks,n_params,train_seconds,infer_ms_per_window,horizon,rmse,mae,smape,mape,peak_week_err,n_obs
random_forest,1,0.4,2,random_forest,0.0,nan,1.0,none,none,0,0,34,619790,43.309,3.3609,0,101.97869462740854,41.08149419223561,59.5122463625742,52.29685615093438,nan,2550
random_forest,1,0.4,2,random_forest,0.0,nan,1.0,none,none,0,0,34,619790,43.309,3.3609,1,67.49326995993056,29.398473053259007,52.131608101400694,47.28605344714018,3.36,850
random_forest,1,0.4,2,random_forest,0.0,nan,1.0,none,none,0,0,34,619790,43.309,3.3609,2,93.08535730554689,39.80319859378478,59.779207617898656,53.5140440377305,3.44,850
random_forest,1,0.4,2,random_forest,0.0,nan,1.0,none,none,0,0,34,619790,43.309,3.3609,3,134.08481360372372,54.04281092966304,66.62592336842327,56.052473319484875,5.84,850
random_forest,2,0.475,0,random_forest,0.0,nan,1.0,none,none,0,0,34,758924,48.711,3.5042,0,125.29061848908982,43.34467895710001,43.90409988965453,47.34020353230271,nan,2550
random_forest,2,0.475,0,random_forest,0.0,nan,1.0,none,none,0,0,34,758924,48.711,3.5042,1,96.27230027299034,34.73522248618743,37.97110961502852,37.99821447522288,1.92,850
random_forest,2,0.475,0,random_forest,0.0,nan,1.0,none,none,0,0,34,758924,48.711,3.5042,2,129.68036025284394,45.035020075019666,43.86361911155952,46.82519867949059,3.6,850
random_forest,2,0.475,0,random_forest,0.0,nan,1.0,none,none,0,0,34,758924,48.711,3.5042,3,144.9409038504168,50.263794310092926,49.87757094237557,57.19719744219469,4.64,850
random_forest,2,0.475,1,random_forest,0.0,nan,1.0,none,none,0,0,34,759230,48.852,3.7749,0,125.66798541967817,43.127659432864654,43.97087071011978,47.254654379613434,nan,2550
random_forest,2,0.475,1,random_forest,0.0,nan,1.0,none,none,0,0,34,759230,48.852,3.7749,1,95.99658610461455,34.28525105977759,38.097315734671845,38.171903264366506,3.56,850
