label,fold,origin,seed,model,lambda_phys,gate_sigma,shrink_gamma,temporal,spatial,window,hidden,lr,augment,n_train_windows,n_real_windows,n_test_weeks,n_params,train_seconds,infer_ms_per_window,horizon,rmse,mae,smape,mape,peak_week_err,n_obs
X_a3tgcn,4,0.625,1,AdaptiveGCN,0.0,0.5925776958465576,1.0,gru_attn,gcn,3,64,0.001,none,253,253,34,23865,109.105,1.8905,0,30.980470484957596,14.13314726832511,50.79087204150326,52.87916247757835,nan,2550
X_a3tgcn,4,0.625,1,AdaptiveGCN,0.0,0.5925776958465576,1.0,gru_attn,gcn,3,64,0.001,none,253,253,34,23865,109.105,1.8905,1,26.50179373856245,12.349490310234183,48.9942374052899,52.43980334902388,2.5,850
X_a3tgcn,4,0.625,1,AdaptiveGCN,0.0,0.5925776958465576,1.0,gru_attn,gcn,3,64,0.001,none,253,253,34,23865,109.105,1.8905,2,29.14490619411819,13.657036429304931,49.800010557161144,52.55134376766233,3.3333333333333335,850
X_a3tgcn,4,0.625,1,AdaptiveGCN,0.0,0.5925776958465576,1.0,gru_attn,gcn,3,64,0.001,none,253,253,34,23865,109.105,1.8905,3,36.43621860158831,16.39291506543622,53.57836816205872,53.64634031604886,3.8333333333333335,850
X_a3tgcn,4,0.625,2,AdaptiveGCN,0.0,0.4777507781982422,1.0,gru_attn,gcn,3,64,0.001,none,253,253,34,23865,313.043,3.446,0,30.249932249035126,13.961098350229873,51.95061948958002,55.6075619898528,nan,2550
X_a3tgcn,4,0.625,2,AdaptiveGCN,0.0,0.4777507781982422,1.0,gru_attn,gcn,3,64,0.001,none,253,253,34,23865,313.043,3.446,1,26.585087314970366,12.47531974241028,50.91422700294127,54.4056410842332,2.5,850
X_a3tgcn,4,0.625,2,AdaptiveGCN,0.0,0.4777507781982422,1.0,gru_attn,gcn,3,64,0.001,none,253,253,34,23865,313.043,3.446,2,28.132123103129253,13.291470609511084,51.29578480410375,55.16258796012728,3.2916666666666665,850
X_a3tgcn,4,0.625,2,AdaptiveGCN,0.0,0.4777507781982422,1.0,gru_attn,gcn,3,64,0.001,none,253,253,34,23865,313.043,3.446,3,35.31277368572779,16.116504698768257,53.641846661695034,57.25445692519787,3.75,850
X_a3tgcn,5,0.7,0,AdaptiveGCN,0.0,0.533964991569519,1.0,gru_attn,gcn,3,64,0.001,none,287,287,34,23865,392.832,3.525,0,57.41558530653186,30.11878261796701,48.858221455846554,58.32175419524268,nan,2550
X_a3tgcn,5,0.7,0,AdaptiveGCN,0.0,0.533964991569519,1.0,gru_attn,gcn,3,64,0.001,none,287,287,34,23865,392.832,3.525,1,40.55610252522637,21.782130578261224,40.36060042865344,41.114866510936665,1.52,850
