label,fold,origin,seed,model,lambda_phys,gate_sigma,shrink_gamma,resid_ratio,max_growth,temporal,spatial,window,hidden,lr,augment,n_train_windows,n_real_windows,n_test_weeks,n_params,train_seconds,infer_ms_per_window,horizon,rmse,mae,smape,mape,peak_week_err,n_obs
C_band0.3_new2.39,4,0.625,0,AdaptiveGCN,0.0,0.6214057207107544,1.0,0.2837,2.3884,none,gcn,3,64,0.001,none,253,253,34,7032,48.087,0.6177,0,30.687794067808255,14.283762986690682,52.24431863221044,56.85129597286355,nan,2550
C_band0.3_new2.39,4,0.625,0,AdaptiveGCN,0.0,0.6214057207107544,1.0,0.2837,2.3884,none,gcn,3,64,0.001,none,253,253,34,7032,48.087,0.6177,1,27.102686512706,12.718473125420621,51.024711325009896,54.729513881270734,2.6666666666666665,850
C_band0.3_new2.39,4,0.625,0,AdaptiveGCN,0.0,0.6214057207107544,1.0,0.2837,2.3884,none,gcn,3,64,0.001,none,253,253,34,7032,48.087,0.6177,2,28.32698309857879,13.578050359431106,51.43312535310947,57.038438105672995,3.3333333333333335,850
C_band0.3_new2.39,4,0.625,0,AdaptiveGCN,0.0,0.6214057207107544,1.0,0.2837,2.3884,none,gcn,3,64,0.001,none,253,253,34,7032,48.087,0.6177,3,35.8921791839314,16.55476547522032,54.275119218511946,58.785935931646925,3.7916666666666665,850
C_band0.3_new2.39,4,0.625,1,AdaptiveGCN,0.0,0.6802629232406616,1.0,0.2798,2.3884,none,gcn,3,64,0.001,none,253,253,34,7032,38.249,0.4768,0,30.716629022154642,14.398461031564603,51.816455942513706,58.83610603415157,nan,2550
C_band0.3_new2.39,4,0.625,1,AdaptiveGCN,0.0,0.6802629232406616,1.0,0.2798,2.3884,none,gcn,3,64,0.001,none,253,253,34,7032,38.249,0.4768,1,27.516844642541045,13.257310108428491,51.150371475222734,59.83427055384016,3.25,850
C_band0.3_new2.39,4,0.625,1,AdaptiveGCN,0.0,0.6802629232406616,1.0,0.2798,2.3884,none,gcn,3,64,0.001,none,253,253,34,7032,38.249,0.4768,2,28.727762810667535,13.934939029015162,51.568260930039436,60.2737481373306,4.041666666666667,850
C_band0.3_new2.39,4,0.625,1,AdaptiveGCN,0.0,0.6802629232406616,1.0,0.2798,2.3884,none,gcn,3,64,0.001,none,253,253,34,7032,38.249,0.4768,3,35.32807382615569,16.003133957250153,52.73073542227894,56.400299411283974,4.291666666666667,850
C_band0.3_new2.39,4,0.625,2,AdaptiveGCN,0.0,0.4469342529773712,1.0,0.4369,2.3884,none,gcn,3,64,0.001,none,253,253,34,7032,104.212,2.8806,0,34.104022475278555,15.903215124409318,53.436791161115785,61.44946846181518,nan,2550
C_band0.3_new2.39,4,0.625,2,AdaptiveGCN,0.0,0.4469342529773712,1.0,0.4369,2.3884,none,gcn,3,64,0.001,none,253,253,34,7032,104.212,2.8806,1,29.089484070600356,13.650812274495907,51.21940502375417,58.20458464335948,2.875,850
C_band0.3_new2.39,4,0.625,2,AdaptiveGCN,0.0,0.4469342529773712,1.0,0.4369,2.3884,none,gcn,3,64,0.001,none,253,253,34,7032,104.212,2.8806,2,31.545476979266756,15.156214843532071,52.934008276649394,60.07608441018337,3.4583333333333335,850
C_band0.3_new2.39,4,0.625,2,AdaptiveGCN,0.0,0.4469342529773712,1.0,0.4369,2.3884,none,gcn,3,64,0.001,none,253,253,34,7032,104.212,2.8806,3,40.59480072176429,18.902618255199975,56.15696018294379,66.06773633190267,5.625,850
C_band0.3_new2.39,5,0.7,0,AdaptiveGCN,0.0,0.6029998064041138,1.0,0.4066,2.3884,none,gcn,3,64,0.001,none,287,287,34,7032,62.153,1.0288,0,55.89418251089165,28.45487019975542,44.90738714368552,52.287615793872554,nan,2550
C_band0.3_new2.39,5,0.7,0,AdaptiveGCN,0.0,0.6029998064041138,1.0,0.4066,2.3884,none,gcn,3,64,0.001,none,287,287,34,7032,62.153,1.0288,1,40.40121822392722,21.6896289402115,38.04550035562785,40.51858264031682,1.24,850
C_band0.3_new2.39,5,0.7,0,AdaptiveGCN,0.0,0.6029998064041138,1.0,0.4066,2.3884,none,gcn,3,64,0.001,none,287,287,34,7032,62.153,1.0288,2,54.85418779286602,28.593037065828547,43.41393349143887,47.515919571936024,2.92,850
C_band0.3_new2.39,5,0.7,0,AdaptiveGCN,0.0,0.6029998064041138,1.0,0.4066,2.3884,none,gcn,3,64,0.001,none,287,287,34,7032,62.153,1.0288,3,68.78399932608018,35.08194459322621,53.26272758398984,69.04909373618497,4.0,850
C_band0.3_new2.39,5,0.7,1,AdaptiveGCN,0.0,0.6174805760383606,1.0,0.3477,2.3884,none,gcn,3,64,0.001,none,287,287,34,7032,60.124,0.6262,0,57.02958669392702,29.549444422305324,46.84824577875118,54.59883405520266,nan,2550
