label,fold,origin,seed,model,lambda_phys,gate_sigma,shrink_gamma,temporal,spatial,window,hidden,lr,augment,n_train_windows,n_real_windows,n_test_weeks,n_params,train_seconds,infer_ms_per_window,horizon,rmse,mae,smape,mape,peak_week_err,n_obs
X_gat_h1,5,0.7,0,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,287,287,34,7160,53.25,1.4178,0,53.78551794184719,28.189303866263444,44.92363167371352,53.011160586929726,nan,2550
X_gat_h1,5,0.7,0,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,287,287,34,7160,53.25,1.4178,1,41.95023134506882,22.172015192555264,38.10348854759899,40.02376044300635,1.4,850
X_gat_h1,5,0.7,0,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,287,287,34,7160,53.25,1.4178,2,53.57667554893561,28.574987140030544,44.12339680218528,48.59469457343642,2.16,850
X_gat_h1,5,0.7,0,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,287,287,34,7160,53.25,1.4178,3,63.626753398531875,33.82090926620452,52.544009671356285,70.64884184768138,3.0416666666666665,850
X_gat_h1,5,0.7,1,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,287,287,34,7160,62.413,1.6349,0,58.126926051826025,29.06458898391611,47.43976828095987,53.79273119289927,nan,2550
X_gat_h1,5,0.7,1,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,287,287,34,7160,62.413,1.6349,1,45.642030800731746,22.958759568149553,40.62735027609218,39.65428998676062,1.4,850
X_gat_h1,5,0.7,1,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,287,287,34,7160,62.413,1.6349,2,60.31714793495255,30.187493315297452,47.36382725882195,50.13761532697719,2.24,850
X_gat_h1,5,0.7,1,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,287,287,34,7160,62.413,1.6349,3,66.44445263587816,34.04751406830133,54.32812730796546,71.82754165300204,2.9583333333333335,850
X_gat_h1,5,0.7,2,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,287,287,34,7160,54.837,1.4482,0,56.242967257810164,29.148691110798232,47.40892748620531,56.691151515417005,nan,2550
X_gat_h1,5,0.7,2,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,287,287,34,7160,54.837,1.4482,1,41.51422939794555,22.36679015881519,40.65248975185567,40.91379277557887,1.72,850
X_gat_h1,5,0.7,2,AdaptiveGCN,0.0,0.8175744414329529,1.0,none,gat,3,64,0.001,none,287,287,34,7160,54.837,1.4482,2,56.02684383863684,29.586825239689034,45.813054107457965,51.70965283163337,2.28,850
