label,fold,origin,seed,model,lambda_phys,gate_sigma,n_test_weeks,horizon,rmse,mae,smape,mape,peak_week_err,n_obs,config,use_adaptive,hidden,epochs
adaptive,1,0.55,1,AdaptiveGCN,0.0,0.5767888426780701,68,2,27.274618261595293,13.600951790509486,54.735781698727,59.11735979345054,6.416666666666667,1700,adaptive,True,64,120
adaptive,1,0.55,1,AdaptiveGCN,0.0,0.5767888426780701,68,3,31.95821744270908,15.571482575017521,57.7837891573555,62.186960345718624,6.708333333333333,1700,adaptive,True,64,120
adaptive,1,0.55,1,AdaptiveGCN,0.0,0.5767888426780701,68,0,27.490245375449124,13.416366760181834,54.22898243852864,57.85002536947721,nan,5100,adaptive,True,64,120
adaptive,1,0.55,2,AdaptiveGCN,0.0,0.593041181564331,68,1,22.84369902406097,11.142471591181067,50.175784368539,52.274714786865026,1.4166666666666667,1700,adaptive,True,64,120
adaptive,1,0.55,2,AdaptiveGCN,0.0,0.593041181564331,68,2,26.456303350408863,12.999795035775477,54.00738311995062,57.71902648420131,2.0,1700,adaptive,True,64,120
adaptive,1,0.55,2,AdaptiveGCN,0.0,0.593041181564331,68,3,32.47504124719593,15.46308463225932,58.18943892024899,58.228806225926576,7.5,1700,adaptive,True,64,120
adaptive,1,0.55,2,AdaptiveGCN,0.0,0.593041181564331,68,0,27.546317818526532,13.201783753071956,54.124202136246204,56.07297819247678,nan,5100,adaptive,True,64,120
adaptive,2,0.7,0,AdaptiveGCN,0.0,0.6029998064041138,68,1,29.229853513088155,13.125294245694462,64.10668382994128,55.843183243790186,1.24,1700,adaptive,True,64,120
adaptive,2,0.7,0,AdaptiveGCN,0.0,0.6029998064041138,68,2,39.59892512576989,17.120240980640553,65.57069979126642,67.18372978935487,4.2,1700,adaptive,True,64,120
adaptive,2,0.7,0,AdaptiveGCN,0.0,0.6029998064041138,68,3,49.65346809505262,20.9872851512615,73.47041837924935,87.42828209018202,5.333333333333333,1700,adaptive,True,64,120
adaptive,2,0.7,0,AdaptiveGCN,0.0,0.6029998064041138,68,0,40.364696214139606,17.077606792532173,67.71593400015234,70.10497864920401,nan,5100,adaptive,True,64,120
adaptive,2,0.7,1,AdaptiveGCN,0.0,0.6174805760383606,68,1,29.493960875353718,12.988705422820058,58.930950518085766,54.47334944682104,1.2,1700,adaptive,True,64,120
adaptive,2,0.7,1,AdaptiveGCN,0.0,0.6174805760383606,68,2,40.3712222013737,17.646229969510546,64.72057831368546,66.97243800560555,3.84,1700,adaptive,True,64,120
adaptive,2,0.7,1,AdaptiveGCN,0.0,0.6174805760383606,68,3,50.70842825484739,22.100915142389233,74.25325506665328,90.68406792632511,5.5,1700,adaptive,True,64,120
adaptive,2,0.7,1,AdaptiveGCN,0.0,0.6174805760383606,68,0,41.11396358994752,17.578616844906612,65.96826129947483,70.65646869248991,nan,5100,adaptive,True,64,120
adaptive,2,0.7,2,AdaptiveGCN,0.0,0.5639709234237671,68,1,30.864247098445357,13.436624903760796,63.89287372781949,54.96558930215668,2.52,1700,adaptive,True,64,120
adaptive,2,0.7,2,AdaptiveGCN,0.0,0.5639709234237671,68,2,41.858139204426934,17.683075218077505,64.73973948715283,66.12381867788943,4.44,1700,adaptive,True,64,120
adaptive,2,0.7,2,AdaptiveGCN,0.0,0.5639709234237671,68,3,52.242291901245565,21.648813208365087,73.36623143828149,87.14570649429857,5.291666666666667,1700,adaptive,True,64,120
