label,fold,origin,seed,model,lambda_phys,gate_sigma,n_test_weeks,n_params,train_seconds,infer_ms_per_window,horizon,rmse,mae,smape,mape,peak_week_err,n_obs
mech_band1.5,4,0.625,2,AdaptiveGCN,0.0,0.46601197123527527,34,7032,80.927,3.0073,0,33.810875040107824,15.702842791465422,53.86021950806441,61.34339410988683,nan,2550
mech_band1.5,4,0.625,2,AdaptiveGCN,0.0,0.46601197123527527,34,7032,80.927,3.0073,1,28.38660332950005,13.24311853376272,50.99130137389237,57.02522596213701,2.5,850
mech_band1.5,4,0.625,2,AdaptiveGCN,0.0,0.46601197123527527,34,7032,80.927,3.0073,2,30.87540296122978,14.901312798195901,53.19201574973482,60.56311780507598,4.208333333333333,850
mech_band1.5,4,0.625,2,AdaptiveGCN,0.0,0.46601197123527527,34,7032,80.927,3.0073,3,40.870968380118654,18.964097042437643,57.39734140056605,66.44183856244747,5.125,850
mech_band1.5,5,0.7,0,AdaptiveGCN,0.0,0.6032343506813049,34,7032,61.763,1.0466,0,55.85142181277734,28.433697349493272,44.99294152375269,52.30777222804866,nan,2550
mech_band1.5,5,0.7,0,AdaptiveGCN,0.0,0.6032343506813049,34,7032,61.763,1.0466,1,40.49325900147848,21.703092760084854,38.06494120297514,40.35958606605514,1.24,850
mech_band1.5,5,0.7,0,AdaptiveGCN,0.0,0.6032343506813049,34,7032,61.763,1.0466,2,54.6545543737325,28.580074448778348,43.41396589061466,48.109057510323346,2.92,850
mech_band1.5,5,0.7,0,AdaptiveGCN,0.0,0.6032343506813049,34,7032,61.763,1.0466,3,68.78458851497362,35.01792483961662,53.49991747766827,68.67134209655299,3.5,850
mech_band1.5,5,0.7,1,AdaptiveGCN,0.0,0.6201530694961548,34,7032,62.223,1.7262,0,57.80139597569577,29.88995911137347,47.310141300355006,54.44465916693409,nan,2550
mech_band1.5,5,0.7,1,AdaptiveGCN,0.0,0.6201530694961548,34,7032,62.223,1.7262,1,41.50567050249809,21.7396289090352,39.13109943038373,39.74275968304589,1.2,850
mech_band1.5,5,0.7,1,AdaptiveGCN,0.0,0.6201530694961548,34,7032,62.223,1.7262,2,56.36141572885989,30.014067531701944,46.29467196327611,49.766602978262064,3.92,850
mech_band1.5,5,0.7,1,AdaptiveGCN,0.0,0.6201530694961548,34,7032,62.223,1.7262,3,71.57984537140483,37.91618089338326,56.50465250740518,74.08559230430969,4.875,850
mech_band1.5,5,0.7,2,AdaptiveGCN,0.0,0.5642743110656738,34,7032,70.544,0.5312,0,58.60589043305323,29.3071830390601,46.29256270338284,52.60639133183278,nan,2550
mech_band1.5,5,0.7,2,AdaptiveGCN,0.0,0.5642743110656738,34,7032,70.544,0.5312,1,42.46372413890678,22.231081204361775,38.62462855173507,39.50427126106189,1.2,850
mech_band1.5,5,0.7,2,AdaptiveGCN,0.0,0.5642743110656738,34,7032,70.544,0.5312,2,58.00319507200999,29.586558479699853,45.22922856724945,47.82020778355943,2.92,850
mech_band1.5,5,0.7,2,AdaptiveGCN,0.0,0.5642743110656738,34,7032,70.544,0.5312,3,71.66877056323976,36.10390943311867,55.02383099116401,70.73438633719321,3.9583333333333335,850
mech_band1.5,6,0.775,0,AdaptiveGCN,0.0,0.7076786756515503,34,7032,58.366,0.5415,0,10.726723092988905,5.325487685016466,79.8447744706706,84.92495372948652,nan,2550
mech_band1.5,6,0.775,0,AdaptiveGCN,0.0,0.7076786756515503,34,7032,58.366,0.5415,1,8.323372925725112,4.300127668878584,71.2435884996462,67.91351405517817,2.5714285714285716,850
mech_band1.5,6,0.775,0,AdaptiveGCN,0.0,0.7076786756515503,34,7032,58.366,0.5415,2,10.506378866551833,5.2936373788822335,80.90138668894554,85.39401925232436,4.0,850
mech_band1.5,6,0.775,0,AdaptiveGCN,0.0,0.7076786756515503,34,7032,58.366,0.5415,3,12.865660931050668,6.382698007288581,87.38934822342007,101.52298546458489,4.642857142857143,850
mech_band1.5,6,0.775,1,AdaptiveGCN,0.0,0.7593560814857483,34,7032,49.246,0.5156,0,10.898553069682354,5.42631591407742,87.96361455064815,87.62877621384457,nan,2550
mech_band1.5,6,0.775,1,AdaptiveGCN,0.0,0.7593560814857483,34,7032,49.246,0.5156,1,8.528284028921576,4.4289613222886866,83.6591087973097,71.40331166841999,2.2142857142857144,850
mech_band1.5,6,0.775,1,AdaptiveGCN,0.0,0.7593560814857483,34,7032,49.246,0.5156,2,10.790810474391382,5.4109373961995795,89.6772536664661,88.59290812338992,4.0,850
mech_band1.5,6,0.775,1,AdaptiveGCN,0.0,0.7593560814857483,34,7032,49.246,0.5156,3,12.929120537215763,6.439049023743992,90.55448118816867,102.94639948031146,4.642857142857143,850
mech_band1.5,6,0.775,2,AdaptiveGCN,0.0,0.7858802676200867,34,7032,51.112,0.4483,0,10.62909607305216,5.32145595590342,86.72046526772469,86.22819151398127,nan,2550
mech_band1.5,6,0.775,2,AdaptiveGCN,0.0,0.7858802676200867,34,7032,51.112,0.4483,1,8.738970224603696,4.570028610282632,94.86398625843752,75.37801903238788,2.7857142857142856,850
mech_band1.5,6,0.775,2,AdaptiveGCN,0.0,0.7858802676200867,34,7032,51.112,0.4483,2,10.211796970178412,5.167339140656884,79.93848530869036,84.01018103382762,3.142857142857143,850
mech_band1.5,6,0.775,2,AdaptiveGCN,0.0,0.7858802676200867,34,7032,51.112,0.4483,3,12.581043360701988,6.2270001167707445,85.35892423604624,99.3162633176548,4.571428571428571,850
mech_band1.5,7,0.85,0,AdaptiveGCN,0.0,0.757593035697937,34,7032,60.939,0.4816,0,88.28189317805105,21.410430157430845,88.66037217887826,394.96987850091136,nan,2550
mech_band1.5,7,0.85,0,AdaptiveGCN,0.0,0.757593035697937,34,7032,60.939,0.4816,1,89.67026471274015,20.705921713068992,85.61462113164848,422.95540054700564,2.76,850
mech_band1.5,7,0.85,0,AdaptiveGCN,0.0,0.757593035697937,34,7032,60.939,0.4816,2,87.44619979265332,21.11939416636713,86.95632180423212,310.12242149252677,3.52,850
mech_band1.5,7,0.85,0,AdaptiveGCN,0.0,0.757593035697937,34,7032,60.939,0.4816,3,87.71250627745692,22.405974592856417,93.4101736007542,451.82924234957926,4.36,850
mech_band1.5,7,0.85,1,AdaptiveGCN,0.0,0.7575942873954773,34,7032,57.352,0.7525,0,90.54197499669156,21.865684456221903,96.63186515445227,413.2994395860675,nan,2550
mech_band1.5,7,0.85,1,AdaptiveGCN,0.0,0.7575942873954773,34,7032,57.352,0.7525,1,90.20497063230235,20.75170699145768,96.95780879808392,430.08284013574416,2.56,850
mech_band1.5,7,0.85,1,AdaptiveGCN,0.0,0.7575942873954773,34,7032,57.352,0.7525,2,92.90963507778814,22.28229766391436,96.37044743184534,348.07542679407504,3.32,850
mech_band1.5,7,0.85,1,AdaptiveGCN,0.0,0.7575942873954773,34,7032,57.352,0.7525,3,88.45569903540571,22.563048713293668,96.56733923342755,461.69712596649856,4.16,850
mech_band1.5,7,0.85,2,AdaptiveGCN,0.0,0.6639987230300903,34,7032,73.784,0.491,0,85.28609227390577,20.899005727689286,95.61156741959734,369.52594764979835,nan,2550
mech_band1.5,7,0.85,2,AdaptiveGCN,0.0,0.6639987230300903,34,7032,73.784,0.491,1,86.64468094320252,20.174552361625384,90.85288129995901,397.4079930030137,2.76,850
mech_band1.5,7,0.85,2,AdaptiveGCN,0.0,0.6639987230300903,34,7032,73.784,0.491,2,85.50361447162277,20.878178847428163,96.39490275695488,299.8305482912978,3.32,850
mech_band1.5,7,0.85,2,AdaptiveGCN,0.0,0.6639987230300903,34,7032,73.784,0.491,3,83.68383226524851,21.644285974014306,99.58691820187812,411.3795635214651,4.6,850
mech_band1.5,8,0.925,0,AdaptiveGCN,0.0,0.4100433588027954,34,7032,153.874,3.133,0,28.33765944111488,12.611096659814391,81.70599239557245,111.94477350359573,nan,2550
mech_band1.5,8,0.925,0,AdaptiveGCN,0.0,0.4100433588027954,34,7032,153.874,3.133,1,25.11427738022443,9.937044702482902,73.26297680706692,83.77525546585584,2.6666666666666665,850
mech_band1.5,8,0.925,0,AdaptiveGCN,0.0,0.4100433588027954,34,7032,153.874,3.133,2,28.57266472937692,13.00293674598448,83.2604379248853,117.70291999454574,4.0476190476190474,850
mech_band1.5,8,0.925,0,AdaptiveGCN,0.0,0.4100433588027954,34,7032,153.874,3.133,3,31.015233833288917,14.89330853097579,88.59456245476515,134.18801831471777,6.238095238095238,850
mech_band1.5,8,0.925,1,AdaptiveGCN,0.0,0.34182101488113403,34,7032,227.419,0.6502,0,30.813608527182623,13.641383422616613,83.03317363260099,109.21375307776687,nan,2550
mech_band1.5,8,0.925,1,AdaptiveGCN,0.0,0.34182101488113403,34,7032,227.419,0.6502,1,25.976468236583692,10.646284956950968,75.8117781341118,85.34775130914689,3.857142857142857,850
mech_band1.5,8,0.925,1,AdaptiveGCN,0.0,0.34182101488113403,34,7032,227.419,0.6502,2,29.665803748409697,13.62002367892467,82.39009690897309,108.78685014991325,4.523809523809524,850
mech_band1.5,8,0.925,1,AdaptiveGCN,0.0,0.34182101488113403,34,7032,227.419,0.6502,3,35.96663172044311,16.657841631974204,90.89764585471809,133.34256155978244,4.190476190476191,850
mech_band1.5,8,0.925,2,AdaptiveGCN,0.0,0.6563242673873901,34,7032,88.109,0.5484,0,27.556979124235735,11.125461156314248,76.92620665803719,93.69673160682915,nan,2550
mech_band1.5,8,0.925,2,AdaptiveGCN,0.0,0.6563242673873901,34,7032,88.109,0.5484,1,25.393250788175504,9.581355958190363,71.74178497303969,80.59471612141877,2.1904761904761907,850
mech_band1.5,8,0.925,2,AdaptiveGCN,0.0,0.6563242673873901,34,7032,88.109,0.5484,2,26.95281402937997,10.787731915375986,76.14607961201351,91.31376738446508,3.380952380952381,850
mech_band1.5,8,0.925,2,AdaptiveGCN,0.0,0.6563242673873901,34,7032,88.109,0.5484,3,30.11461315818575,13.007295595376396,82.89075538905838,109.0828555729789,5.095238095238095,850
mech_both1.5,1,0.4,0,AdaptiveGCN,0.0,0.7380442023277283,34,7032,30.943,0.7834,0,102.29318113384909,40.59149523667297,62.21563996644406,58.12635236586128,nan,2550
mech_both1.5,1,0.4,0,AdaptiveGCN,0.0,0.7380442023277283,34,7032,30.943,0.7834,1,66.39420641500166,28.846880277836807,54.76138930757636,54.35896443477382,2.6,850
mech_both1.5,1,0.4,0,AdaptiveGCN,0.0,0.7380442023277283,34,7032,30.943,0.7834,2,92.65771026297463,39.53730951788671,61.97073237079776,59.76137627682628,3.12,850
mech_both1.5,1,0.4,0,AdaptiveGCN,0.0,0.7380442023277283,34,7032,30.943,0.7834,3,135.6393851460267,53.3902959142954,69.91479822095805,60.23275913836015,7.2,850
mech_both1.5,1,0.4,1,AdaptiveGCN,0.0,0.8073859810829163,34,7032,23.959,0.616,0,82.76816854326327,34.743998334304585,59.37435172572455,59.0174718008305,nan,2550
mech_both1.5,1,0.4,1,AdaptiveGCN,0.0,0.8073859810829163,34,7032,23.959,0.616,1,58.151048515190254,26.6228793430768,55.10236547000387,56.43194929926844,2.52,850
mech_both1.5,1,0.4,1,AdaptiveGCN,0.0,0.8073859810829163,34,7032,23.959,0.616,2,73.64962369078671,33.31569556718199,58.51367072221401,61.16853748377231,3.12,850
mech_both1.5,1,0.4,1,AdaptiveGCN,0.0,0.8073859810829163,34,7032,23.959,0.616,3,108.37849260258055,44.29342009265496,64.5070189849558,59.43784704694518,6.08,850
mech_both1.5,1,0.4,2,AdaptiveGCN,0.0,0.7926310896873474,34,7032,25.975,0.7747,0,102.37214590170935,39.985180958239404,61.141199479632455,58.7051472523386,nan,2550
mech_both1.5,1,0.4,2,AdaptiveGCN,0.0,0.7926310896873474,34,7032,25.975,0.7747,1,63.15721240359246,27.96319423424491,53.661443732387184,54.485932552330894,2.44,850
mech_both1.5,1,0.4,2,AdaptiveGCN,0.0,0.7926310896873474,34,7032,25.975,0.7747,2,88.59453304486469,37.84935291827367,60.7199440929437,60.26183362409908,3.2,850
mech_both1.5,1,0.4,2,AdaptiveGCN,0.0,0.7926310896873474,34,7032,25.975,0.7747,3,140.00837119805547,54.14299572219963,69.04221061356645,61.337609747714275,6.96,850
mech_both1.5,2,0.475,0,AdaptiveGCN,0.0,0.8035123348236084,34,7032,30.416,0.7724,0,122.00855752451253,44.3034970088588,43.29653014999158,52.58264411683922,nan,2550
mech_both1.5,2,0.475,0,AdaptiveGCN,0.0,0.8035123348236084,34,7032,30.416,0.7724,1,103.05857087685202,37.06877537405447,38.11913573829205,44.15337476938166,1.24,850
mech_both1.5,2,0.475,0,AdaptiveGCN,0.0,0.8035123348236084,34,7032,30.416,0.7724,2,120.65608414066504,44.566060445098316,42.337368624208075,50.33687857930612,2.0,850
mech_both1.5,2,0.475,0,AdaptiveGCN,0.0,0.8035123348236084,34,7032,30.416,0.7724,3,139.56827954910986,51.275655207423604,49.433086087474585,63.25767900182986,3.24,850
mech_both1.5,2,0.475,1,AdaptiveGCN,0.0,0.5346599817276001,34,7032,73.717,0.7264,0,167.8323562027814,55.3608895241922,47.9329397957998,59.89576487533507,nan,2550
mech_both1.5,2,0.475,1,AdaptiveGCN,0.0,0.5346599817276001,34,7032,73.717,0.7264,1,101.83191869191528,36.866825012700524,39.48282399972612,43.63188022020725,2.92,850
mech_both1.5,2,0.475,1,AdaptiveGCN,0.0,0.5346599817276001,34,7032,73.717,0.7264,2,155.72978138977084,55.33982862535207,47.431524609745715,56.99452857434326,4.72,850
mech_both1.5,2,0.475,1,AdaptiveGCN,0.0,0.5346599817276001,34,7032,73.717,0.7264,3,223.34187894246176,73.87601493452402,56.884470777927554,79.06088583145468,3.8,850
mech_both1.5,2,0.475,2,AdaptiveGCN,0.0,0.6282281875610352,34,7032,153.663,1.2141,0,190.52479884372673,65.06992714442569,50.431623918109544,66.5211743655888,nan,2550
mech_both1.5,2,0.475,2,AdaptiveGCN,0.0,0.6282281875610352,34,7032,153.663,1.2141,1,118.90953618761769,42.442785689503175,40.94377467150228,46.625037097351694,2.6,850
mech_both1.5,2,0.475,2,AdaptiveGCN,0.0,0.6282281875610352,34,7032,153.663,1.2141,2,186.9285872115929,66.68494858519338,50.50204072458231,65.42141537399182,3.72,850
mech_both1.5,2,0.475,2,AdaptiveGCN,0.0,0.6282281875610352,34,7032,153.663,1.2141,3,244.57580094942165,86.0820471585805,59.84905635824405,87.51707062542293,3.92,850
mech_both1.5,3,0.55,0,AdaptiveGCN,0.0,0.49567291140556335,34,7032,73.582,1.197,0,21.869825306629807,11.814638954190647,56.40913139829943,59.79318657945648,nan,2550
mech_both1.5,3,0.55,0,AdaptiveGCN,0.0,0.49567291140556335,34,7032,73.582,1.197,1,15.986002065177123,9.337843920693677,50.19599958512699,54.231579921024974,1.8333333333333333,850
mech_both1.5,3,0.55,0,AdaptiveGCN,0.0,0.49567291140556335,34,7032,73.582,1.197,2,21.909105852126334,11.899699423137832,57.4369650269289,61.52694925197256,3.75,850
mech_both1.5,3,0.55,0,AdaptiveGCN,0.0,0.49567291140556335,34,7032,73.582,1.197,3,26.444405751689573,14.20637351874043,61.594429582842395,63.63238419372058,4.0,850
mech_both1.5,3,0.55,1,AdaptiveGCN,0.0,0.6393234729766846,34,7032,51.344,0.4683,0,20.342636513625123,11.592586957769944,55.13199003252496,63.01474970590554,nan,2550
mech_both1.5,3,0.55,1,AdaptiveGCN,0.0,0.6393234729766846,34,7032,51.344,0.4683,1,15.313957429785708,9.264955973156235,49.92693813549479,55.54276851967073,1.7916666666666667,850
mech_both1.5,3,0.55,1,AdaptiveGCN,0.0,0.6393234729766846,34,7032,51.344,0.4683,2,20.758199211610513,11.808189447719384,56.29773491826467,65.82227555425177,3.8333333333333335,850
mech_both1.5,3,0.55,1,AdaptiveGCN,0.0,0.6393234729766846,34,7032,51.344,0.4683,3,24.001009443484367,13.70461545243421,59.17129704381544,67.69388029956693,4.541666666666667,850
mech_both1.5,3,0.55,2,AdaptiveGCN,0.0,0.797920823097229,34,7032,38.733,0.7479,0,22.369410990778125,12.410332425322464,55.686174417240544,66.10861274071888,nan,2550
mech_both1.5,3,0.55,2,AdaptiveGCN,0.0,0.797920823097229,34,7032,38.733,0.7479,1,16.009169083985785,9.56491031307282,49.803065576798886,56.57279487818268,1.2083333333333333,850
mech_both1.5,3,0.55,2,AdaptiveGCN,0.0,0.797920823097229,34,7032,38.733,0.7479,2,22.040512234368553,12.376192885595168,56.74722688744137,67.98647372350774,2.9583333333333335,850
mech_both1.5,3,0.55,2,AdaptiveGCN,0.0,0.797920823097229,34,7032,38.733,0.7479,3,27.551660020950454,15.289894077299405,60.50823078748139,73.78736015824413,3.8333333333333335,850
mech_both1.5,4,0.625,0,AdaptiveGCN,0.0,0.44188952445983887,34,7032,132.999,1.7235,0,35.64067685656836,16.542610932693396,54.61669128371995,61.15319681356735,nan,2550
mech_both1.5,4,0.625,0,AdaptiveGCN,0.0,0.44188952445983887,34,7032,132.999,1.7235,1,27.885126089080945,13.289354756704586,50.31358311573452,55.259172618818575,4.625,850
mech_both1.5,4,0.625,0,AdaptiveGCN,0.0,0.44188952445983887,34,7032,132.999,1.7235,2,33.6558982951282,16.252551753371954,54.012319396834776,60.418103275661636,9.0,850
mech_both1.5,4,0.625,0,AdaptiveGCN,0.0,0.44188952445983887,34,7032,132.999,1.7235,3,43.594423878829126,20.085926288003648,59.524171338590584,67.7823145462218,11.916666666666666,850
mech_both1.5,4,0.625,1,AdaptiveGCN,0.0,0.5701358914375305,34,7032,63.474,0.4657,0,33.28572684712092,16.0455418649944,53.912385628787796,67.41075364876372,nan,2550
mech_both1.5,4,0.625,1,AdaptiveGCN,0.0,0.5701358914375305,34,7032,63.474,0.4657,1,27.89224160228079,13.303402066007257,51.30743825126242,59.50605912667011,2.6666666666666665,850
mech_both1.5,4,0.625,1,AdaptiveGCN,0.0,0.5701358914375305,34,7032,63.474,0.4657,2,30.84752657429378,15.51485973339747,53.376499304901216,66.83729554927878,4.375,850
mech_both1.5,4,0.625,1,AdaptiveGCN,0.0,0.5701358914375305,34,7032,63.474,0.4657,3,39.928333271896975,19.31836379557848,57.053219330199745,75.88890627034225,5.375,850
mech_both1.5,4,0.625,2,AdaptiveGCN,0.0,0.462259978055954,34,7032,98.115,2.2754,0,34.97628843453387,16.377989416879227,54.56699551112817,65.00223203014758,nan,2550
