district,year,population_thousands,provisional
Moneragala,2018,491,True
Mullaitivu,2018,96,True
NuwaraEliya,2018,763,True
Polonnaruwa,2018,436,True
Puttalam,2018,825,True
Ratnapura,2018,1163,True
Sri Lanka,2018,21670,True
Trincomalee,2018,421,True
Vavuniya,2018,187,True
Ampara,2019,728,True
Anuradhapura,2019,937,True
Badulla,2019,880,True
Batticaloa,2019,575,True
Colombo,2019,2448,True
Galle,2019,1130,True
Gampaha,2019,2417,True
Hambantota,2019,661,True
Jaffna,2019,617,True
Kalutara,2019,1284,True
Kandy,2019,1476,True
Kegalle,2019,887,True
Kilinochchi,2019,129,True
Kurunegala,2019,1719,True
Mannar,2019,111,True
Matale,2019,522,True
Matara,2019,863,True
Moneragala,2019,496,True
Mullaitivu,2019,97,True
NuwaraEliya,2019,768,True
Polonnaruwa,2019,440,True
Puttalam,2019,832,True
Ratnapura,2019,1171,True
Sri Lanka,2019,21803,True
Trincomalee,2019,426,True
Vavuniya,2019,189,True
Ampara,2020,736,True
Anuradhapura,2020,943,True
Badulla,2020,886,True
Batticaloa,2020,579,True
Colombo,2020,2455,True
Galle,2020,1135,True
Gampaha,2020,2423,True
Hambantota,2020,668,True
Jaffna,2020,621,True
Kalutara,2020,1287,True
Kandy,2020,1483,True
Kegalle,2020,891,True
Kilinochchi,2020,130,True
Kurunegala,2020,1726,True
Mannar,2020,112,True
Matale,2020,525,True
Matara,2020,866,True
Moneragala,2020,501,True
Mullaitivu,2020,98,True
NuwaraEliya,2020,773,True
Polonnaruwa,2020,443,True
Puttalam,2020,837,True
Ratnapura,2020,1179,True
Sri Lanka,2020,21919,True
Trincomalee,2020,431,True
Vavuniya,2020,191,True
Ampara,2021,752,True
Anuradhapura,2021,954,True
Badulla,2021,895,True
Batticaloa,2021,590,True
Colombo,2021,2480,True
Galle,2021,1147,True
Gampaha,2021,2443,True
Hambantota,2021,676,True
Jaffna,2021,626,True
Kalutara,2021,1296,True
Kandy,2021,1501,True
Kegalle,2021,898,True
Kilinochchi,2021,133,True
Kurunegala,2021,1743,True
Mannar,2021,114,True
Matale,2021,530,True
Matara,2021,873,True
Moneragala,2021,505,True
Mullaitivu,2021,98,True
NuwaraEliya,2021,780,True
Polonnaruwa,2021,448,True
Puttalam,2021,849,True
Ratnapura,2021,1190,True
Sri Lanka,2021,22156,True
Trincomalee,2021,441,True
Vavuniya,2021,194,True
Ampara,2022,754,True
Anuradhapura,2022,957,True
Badulla,2022,899,True
Batticaloa,2022,590,True
Colombo,2022,2478,True
Galle,2022,1147,True
Gampaha,2022,2439,True
Hambantota,2022,681,True
Jaffna,2022,629,True
Kalutara,2022,1292,True
Kandy,2022,1499,True
Kegalle,2022,898,True
Kilinochchi,2022,135,True
Kurunegala,2022,1742,True
Mannar,2022,115,True
Matale,2022,530,True
Matara,2022,874,True
Moneragala,2022,509,True
Mullaitivu,2022,99,True
NuwaraEliya,2022,783,True
Polonnaruwa,2022,449,True
Puttalam,2022,850,True
Ratnapura,2022,1193,True
Sri Lanka,2022,22181,True
Trincomalee,2022,444,True
Vavuniya,2022,195,True
Ampara,2023,749,True
Anuradhapura,2023,950,True
Badulla,2023,896,True
Batticaloa,2023,582,True
Colombo,2023,2460,True
Galle,2023,1139,True
Gampaha,2023,2421,True
Hambantota,2023,680,True
Jaffna,2023,628,True
Kalutara,2023,1279,True
Kandy,2023,1482,True
Kegalle,2023,892,True
Kilinochchi,2023,136,True
Kurunegala,2023,1727,True
Mannar,2023,116,True
Matale,2023,525,True
Matara,2023,869,True
Moneragala,2023,509,True
Mullaitivu,2023,99,True
NuwaraEliya,2023,781,True
Polonnaruwa,2023,445,True
Puttalam,2023,845,True
Ratnapura,2023,1188,True
Sri Lanka,2023,22037,True
Trincomalee,2023,443,True
Vavuniya,2023,196,True
Ampara,2024,746,True
Anuradhapura,2024,944,True
Badulla,2024,895,True
Batticaloa,2024,577,True
Colombo,2024,2446,True
Galle,2024,1130,True
Gampaha,2024,2402,True
Hambantota,2024,680,True
Jaffna,2024,629,True
Kalutara,2024,1267,True
Kandy,2024,1471,True
Kegalle,2024,886,True
Kilinochchi,2024,138,True
Kurunegala,2024,1712,True
Mannar,2024,117,True
Matale,2024,520,True
Matara,2024,865,True
Moneragala,2024,509,True
Mullaitivu,2024,100,True
NuwaraEliya,2024,779,True
Polonnaruwa,2024,442,True
Puttalam,2024,839,True
Ratnapura,2024,1183,True
Sri Lanka,2024,21916,True
Trincomalee,2024,442,True
Vavuniya,2024,197,True
