file,bytes,sha256,source
disease_modeling_MLOS2/Data/GLDAS/GLDAS_NOAH025_3H.A20210101.0000.021.nc4,55986,70ac3d6ee0afa6caf38dc8f89b81f9de0bc962f13bf2907a27896c38d083fad1,Authors' repository sample files and GADM 4.1 boundaries -- https://github.com/MLOpenSourceOpenScience/disease_modeling_MLOS2
disease_modeling_MLOS2/Data/GLDAS/GLDAS_NOAH025_3H.A20210101.0300.021.nc4,55978,24014408c2e58873293a50aea2e915b044c30eb9c6a105b196d2bd9d7f93ebfb,Authors' repository sample files and GADM 4.1 boundaries -- https://github.com/MLOpenSourceOpenScience/disease_modeling_MLOS2
disease_modeling_MLOS2/Data/GLDAS/GLDAS_NOAH025_3H.A20210101.0600.021.nc4,55604,97a1b443883da67ebb92c0b3c45da258eab61b198027ea604bea127057cbf0b3,Authors' repository sample files and GADM 4.1 boundaries -- https://github.com/MLOpenSourceOpenScience/disease_modeling_MLOS2
disease_modeling_MLOS2/Data/GLDAS/GLDAS_NOAH025_3H.A20210101.0900.021.nc4,55604,67175373ba7333304887f089358ea269dd6c2ed011d548611762f05afadb3683,Authors' repository sample files and GADM 4.1 boundaries -- https://github.com/MLOpenSourceOpenScience/disease_modeling_MLOS2
disease_modeling_MLOS2/Data/GLDAS/GLDAS_NOAH025_3H.A20210101.1200.021.nc4,55604,adb80ba7301587b0400ce0b6bb72098322a6b3d97ea4ca0b4191325ad5465f93,Authors' repository sample files and GADM 4.1 boundaries -- https://github.com/MLOpenSourceOpenScience/disease_modeling_MLOS2
disease_modeling_MLOS2/Data/GLDAS/GLDAS_NOAH025_3H.A20210101.1500.021.nc4,55604,9b8d5cb0c5167ae1d0e31989894ef11d6151c3fc75d90fd2fd81e06c1fc7100c,Authors' repository sample files and GADM 4.1 boundaries -- https://github.com/MLOpenSourceOpenScience/disease_modeling_MLOS2
disease_modeling_MLOS2/Data/GLDAS/GLDAS_NOAH025_3H.A20210101.1800.021.nc4,55604,b66897044555e201833dd11f136b628a1628ce96766cefa9599ecb885a6c2898,Authors' repository sample files and GADM 4.1 boundaries -- https://github.com/MLOpenSourceOpenScience/disease_modeling_MLOS2
disease_modeling_MLOS2/Data/GLDAS/GLDAS_NOAH025_3H.A20210101.2100.021.nc4,55604,04ca67ed639063b5025ea1748156f68e32ea66c390e23ffbe6aa25893372bed6,Authors' repository sample files and GADM 4.1 boundaries -- https://github.com/MLOpenSourceOpenScience/disease_modeling_MLOS2
disease_modeling_MLOS2/Data/GLDAS/GLDAS_NOAH025_3H.A20210102.0000.021.nc4,55986,14eb2817f8890f4c61c291895c549e3694436148fd18598e4044ac94fece5f09,Authors' repository sample files and GADM 4.1 boundaries -- https://github.com/MLOpenSourceOpenScience/disease_modeling_MLOS2
disease_modeling_MLOS2/Data/GLDAS/GLDAS_NOAH025_3H.A20210102.0300.021.nc4,55984,f2143f64d1afadfbb4b71a3c289b00907bdfc4efbd768f481e805b6df7619cf5,Authors' repository sample files and GADM 4.1 boundaries -- https://github.com/MLOpenSourceOpenScience/disease_modeling_MLOS2
