arch,increment,origin,seed,RMSE,MAE,n_windows,n_artifact,RMSE_clean,MAE_clean,growth_max,growth_p99,growth_min
DCRNN,spatial,0.55,2,28.520565032958984,13.837072372436523,68,0,28.520565032958984,13.837072372436523,1.1350131034851074,0.3781738305091858,-0.7855372428894043
DCRNN,spatial,0.55,3,27.477127075195312,13.414534568786621,68,0,27.477127075195312,13.414534568786621,0.6631803512573242,0.2666257162378489,-0.6502606868743896
DCRNN,spatial,0.55,4,28.045623779296875,13.65523624420166,68,0,28.045623779296875,13.65523624420166,0.9316076040267944,0.4346882104873657,-0.7033765316009521
DCRNN,spatial,0.55,5,27.339794158935547,13.401026725769043,68,0,27.339794158935547,13.401026725769043,0.7858035564422607,0.28589807271957685,-0.5728139877319336
DCRNN,spatial,0.55,6,28.41643714904785,13.816256523132324,68,0,28.41643714904785,13.816256523132324,0.7891669273376465,0.45996115446090763,-0.9802532196044922
DCRNN,spatial,0.55,7,27.635967254638672,13.553572654724121,68,0,27.635967254638672,13.553572654724121,0.7741899490356445,0.5873980522155762,-0.41244580084848526
DCRNN,spatial,0.55,8,27.984729766845703,13.532881736755371,68,0,27.984729766845703,13.532881736755371,0.7464251370839206,0.4424576759338379,-1.2259395122528076
DCRNN,spatial,0.55,9,27.926342010498047,13.569913864135742,68,0,27.926342010498047,13.569913864135742,0.6180450916290283,0.2921450138092041,-0.6016059370216649
DCRNN,spatial,0.55,10,30.329910278320312,14.66733455657959,68,0,30.329910278320312,14.66733455657959,0.8661422729492188,0.3385548603534698,-0.7987127304077148
DCRNN,spatial,0.55,11,27.681184768676758,13.381675720214844,68,0,27.681184768676758,13.381675720214844,0.7749536037445068,0.2476079467719922,-0.4783143997192383
DCRNN,spatial,0.55,12,28.293132781982422,13.76790714263916,68,0,28.293132781982422,13.76790714263916,0.7927889823913574,0.45514869689941406,-1.0819628238677979
DCRNN,spatial,0.55,13,29.189088821411133,14.02751350402832,68,0,29.189088821411133,14.02751350402832,0.7214145660400391,0.3163108825683594,-0.7979021072387695
DCRNN,spatial,0.55,14,28.35529327392578,13.543305397033691,68,0,28.35529327392578,13.543305397033691,1.1640429496765137,0.3356962856660067,-0.7150609493255615
DCRNN,spatial,0.55,15,30.154525756835938,14.546640396118164,68,0,30.154525756835938,14.546640396118164,0.9403336048126221,0.24194015599856253,-0.8896319684648031
DCRNN,spatial,0.55,16,27.280866622924805,13.38914966583252,68,0,27.280866622924805,13.38914966583252,0.37475025977065446,0.22242450714111328,-0.6366162300109863
DCRNN,spatial,0.55,17,33.59777069091797,16.25525665283203,68,0,33.59777069091797,16.25525665283203,1.2893390655517578,0.6807690989971174,-1.4223955869674683
DCRNN,spatial,0.55,18,34.23751449584961,16.107101440429688,68,0,34.23751449584961,16.107101440429688,1.506295919418335,0.6426701545715332,-1.3661847114562988
DCRNN,spatial,0.55,19,31.12591552734375,15.34628677368164,68,0,31.12591552734375,15.34628677368164,0.8798866271972656,0.7098526954650879,-0.8300728616380209
DCRNN,spatial,0.7,0,39.27634048461914,16.87095069885254,68,0,39.27634048461914,16.87095069885254,1.1286485195159912,0.2881900215148953,-1.2943120002746582
DCRNN,spatial,0.7,1,47.39171600341797,18.723844528198242,68,0,47.39171600341797,18.723844528198242,0.843968391418457,0.3863305032253288,-1.5400440692901611
DCRNN,spatial,0.7,2,42.39055252075195,17.91193962097168,68,0,42.39055252075195,17.91193962097168,0.7540631294250488,0.3031301369869066,-0.8046331405639648
DCRNN,spatial,0.7,3,40.901710510253906,17.475683212280273,68,0,40.901710510253906,17.475683212280273,1.0643339157104492,0.340911865234375,-1.004697561264038
DCRNN,spatial,0.7,4,43.12632751464844,17.68473243713379,68,0,43.12632751464844,17.68473243713379,1.2037057876586914,0.3848109245300293,-0.7465486526489258
DCRNN,spatial,0.7,5,41.68204116821289,17.575258255004883,68,0,41.68204116821289,17.575258255004883,0.7360801696777344,0.3024079227447526,-0.7790775299072266
DCRNN,spatial,0.7,6,40.65159606933594,17.342586517333984,68,0,40.65159606933594,17.342586517333984,1.094510793685913,0.39809230327606215,-0.9221324920654297
DCRNN,spatial,0.7,7,42.76329040527344,18.12324333190918,68,0,42.76329040527344,18.12324333190918,1.0805637836456299,0.30660395860672035,-0.8839206842966947
DCRNN,spatial,0.7,8,43.79508972167969,18.305891036987305,68,0,43.79508972167969,18.305891036987305,0.865408182144165,0.36169791221618663,-0.8085727691650391
DCRNN,spatial,0.7,9,43.15678787231445,18.4543514251709,68,0,43.15678787231445,18.4543514251709,0.9262142181396484,0.34921840163666895,-0.7642762660980225
DCRNN,spatial,0.7,10,43.49822235107422,18.29725456237793,68,0,43.49822235107422,18.29725456237793,1.4444847106933594,0.3748292922973633,-0.8677711486816406
DCRNN,spatial,0.7,11,41.715782165527344,17.682872772216797,68,0,41.715782165527344,17.682872772216797,0.7511544227600098,0.33831801238488507,-0.9255352020263672
DCRNN,spatial,0.7,12,45.441036224365234,18.17547035217285,68,0,45.441036224365234,18.17547035217285,1.2286274433135986,0.4803092765808112,-1.110175609588623
DCRNN,spatial,0.7,13,44.736419677734375,18.41533088684082,68,0,44.736419677734375,18.41533088684082,0.9594588279724121,0.4218705224990851,-0.8347747325897217
DCRNN,spatial,0.7,14,47.063995361328125,18.59624671936035,68,0,47.063995361328125,18.59624671936035,1.9757189750671387,0.5028853464126587,-1.1007367825636796
DCRNN,spatial,0.7,15,42.854286193847656,18.050268173217773,68,0,42.854286193847656,18.050268173217773,0.9411821365356445,0.3125581741333008,-0.7083415985107422
DCRNN,spatial,0.7,16,41.00136947631836,17.459735870361328,68,0,41.00136947631836,17.459735870361328,0.6902952194213867,0.37796349406242397,-0.6825547218322754
DCRNN,spatial,0.7,17,42.73766326904297,17.68869400024414,68,0,42.73766326904297,17.68869400024414,0.7709379829694516,0.3394350671768212,-1.2678377628326416
DCRNN,spatial,0.7,18,41.21731948852539,17.432537078857422,68,0,41.21731948852539,17.432537078857422,0.6505351066589355,0.3825545310974121,-1.3073828220367432
DCRNN,spatial,0.7,19,46.82500076293945,18.429197311401367,68,0,46.82500076293945,18.429197311401367,0.963411808013916,0.4063523578643835,-1.036186695098877
DCRNN,spatial,0.85,0,64.67742156982422,16.101118087768555,68,6,22.64954376220703,9.189401626586914,1.117405891418457,0.24708861589431935,-0.7334976196289062
DCRNN,spatial,0.85,1,62.167301177978516,15.644124031066895,68,6,22.129268646240234,9.053637504577637,0.4349172115325928,0.1734471321105957,-0.651268482208252
DCRNN,spatial,0.85,2,71.06505584716797,16.982450485229492,68,6,22.341829299926758,9.159468650817871,0.6949787139892578,0.22263002395629883,-0.980951189994812
DCRNN,spatial,0.85,3,73.63741302490234,16.953407287597656,68,6,22.145118713378906,9.088648796081543,0.648127144752265,0.22313976287841797,-0.71872878074646
DCRNN,spatial,0.85,4,67.52571105957031,16.302579879760742,68,6,22.337265014648438,9.09970760345459,0.8831746578216553,0.2687392904540597,-0.8481388092041016
DCRNN,spatial,0.85,5,62.113731384277344,15.658180236816406,68,6,21.93708038330078,9.031338691711426,0.7575592994689941,0.09984898567199707,-0.8754357099533081
DCRNN,spatial,0.85,6,68.90341186523438,16.731374740600586,68,6,22.387435913085938,9.119583129882812,0.48893213272094727,0.2630514776897166,-0.48137903213500977
DCRNN,spatial,0.85,7,70.60262298583984,16.69792938232422,68,6,22.33966636657715,9.11963176727295,0.5891014469443987,0.1855318546295166,-0.4979572296142578
DCRNN,spatial,0.85,8,65.70905303955078,16.20853614807129,68,6,22.4975643157959,9.171566009521484,0.9215149879455566,0.37144970923662185,-0.6769442359947697
DCRNN,spatial,0.85,9,73.520263671875,16.903488159179688,68,6,21.994966506958008,9.094220161437988,1.0077390670776367,0.21872838139534329,-1.0454732179641724
DCRNN,spatial,0.85,10,65.778076171875,16.157089233398438,68,6,22.356502532958984,9.103374481201172,1.073554515838623,0.3017430305480957,-1.7236764430999756
DCRNN,spatial,0.85,11,63.8352165222168,15.917593002319336,68,6,21.958059310913086,9.020400047302246,0.4405984878540039,0.10132932662963867,-0.8916101455688477
DCRNN,spatial,0.85,12,69.35438537597656,16.72798728942871,68,6,22.573272705078125,9.133526802062988,0.44178295135498047,0.18807387351989746,-0.8855583667755127
DCRNN,spatial,0.85,13,63.908172607421875,15.972282409667969,68,6,22.37230682373047,9.117303848266602,0.4639139175415039,0.2022848129272461,-0.5225005149841309
DCRNN,spatial,0.85,14,63.29951477050781,15.851764678955078,68,6,22.322200775146484,9.116312980651855,0.6838012933731079,0.21142542481422424,-0.765385627746582
DCRNN,spatial,0.85,15,63.3259162902832,15.8402681350708,68,6,22.3879451751709,9.118642807006836,0.7292768955230713,0.20289695262908936,-0.9371578693389893
DCRNN,spatial,0.85,16,68.17427825927734,16.495647430419922,68,6,22.213388442993164,9.084482192993164,0.6598200798034668,0.16184360027313566,-0.565918682101083
DCRNN,spatial,0.85,17,62.860599517822266,15.799785614013672,68,6,22.412614822387695,9.123551368713379,0.5669364929199219,0.11851859092712402,-0.6078405380249023
DCRNN,spatial,0.85,18,66.815185546875,16.37681007385254,68,6,22.07384490966797,9.06120491027832,0.5587363243103027,0.09721091624849912,-0.5403232574462891
DCRNN,spatial,0.85,19,77.51103973388672,17.58338165283203,68,6,22.5418643951416,9.24865436553955,1.0701961517333984,0.26162556033005435,-1.1629122495651245
