source,arch,arm,n_origins,RMSE,vs_floor,wins,p
beat_combo,A3TGCN,ens_calib,9,28.387037056572282,0.8159057767085405,4,0.4072924352821715
beat_combo_gauss,STGAT,ens_blend_calib,9,28.402652327214657,0.8315210473509155,5,0.43558774601187955
beat_combo_gauss,STGAT,ens_calib,9,28.40668358223995,0.8355523023762065,5,0.43320978505062635
beat_combo,A3TGCN,calib,9,28.444764448754754,0.8736331688910138,4,0.3762411971755113
beat_combo_gauss,STGAT,blend_calib,9,28.45522249689149,0.8840912170277436,5,0.40296172285063236
beat_combo,A3TGCN,ens_blend_calib,9,28.47323626046605,0.9021049806023065,4,0.3536157559478428
beat_combo_gauss,A3TGCN,blend_lognorm,9,28.47442845574176,0.9032971758780152,1,0.14177802431730324
beat_combo_gauss,STGAT,calib,9,28.479482663043996,0.9083513831802497,5,0.39253998010371094
beat_combo,STGAT,ens_calib,9,28.48988272749384,0.9187514476300913,4,0.4039463530487649
beat_combo,STGAT,calib,9,28.50269767334331,0.9315663934795655,4,0.399136807467784
beat_combo_nb,A3TGCN,ens_calib,9,28.503049811125816,0.9319185312620717,3,0.33520020999649985
beat_combo,STGAT,blend_calib,9,28.504270786266805,0.9331395064030613,4,0.38976423745598965
beat_combo,STGAT,ens_blend_calib,9,28.50677385687147,0.9356425770077218,4,0.3893263134356101
beat_combo_nb,A3TGCN,ens_blend_calib,9,28.51241793338838,0.9412866535246356,3,0.32902361384561246
beat_combo,A3TGCN,blend_calib,9,28.516118166042304,0.9449868861785622,4,0.33193440686592607
beat_combo_nb,STGAT,blend_smear,9,28.5429918228769,0.9718605430131553,0,0.23083692781440202
beat_combo,ASTGCN,ens_blend_lognorm,9,28.567079973365335,0.9959486935015897,3,0.32908146256594634
beat_combo_nb,A3TGCN+STGAT+ASTGCN,multi_calib,9,28.573714611517126,1.0025833316533808,4,0.33899201930104034
beat_combo,ASTGCN,blend_lognorm,9,28.64307733516885,1.0719460553051035,4,0.29916986151777675
beat_combo_nb,A3TGCN,blend_calib,9,28.664921269605234,1.093789989741489,3,0.2586750763517759
beat_combo_nb,A3TGCN,calib,9,28.69027779885769,1.1191465189939467,3,0.2518255119294093
beat_combo_nb,A3TGCN,ens_raw,9,28.873957633972168,1.3028263541084244,1,0.007048161277291378
beat_combo_nb,STGAT,blend_raw,9,28.894472440933466,1.3233411610697217,0,0.1392118603712215
beat_combo_nb,ASTGCN,ens_blend_lognorm,9,29.04983136259564,1.478700082731895,3,0.280564877166285
beat_combo_nb,ASTGCN,blend_lognorm,9,29.073548351895713,1.502417072031971,4,0.2755415601359269
beat_combo_nb,STGAT,ens_blend_raw,9,29.112531737517056,1.5414004576533156,2,0.19098307756017002
beat_combo_nb,A3TGCN,raw,9,29.55710015473542,1.9859688748716797,0,0.003191182638314201
beat_combo_nb,STGAT,ens_blend_calib,9,29.699039579774016,2.1279082999102714,2,0.10124498582869329
beat_combo_nb,STGAT,blend_calib,9,29.871141839819,2.3000105599552527,2,0.07511195799746684
beat_combo_nb,STGAT,ens_raw,9,29.97494951883952,2.4038182389757745,0,0.18441304597159625
beat_combo_nb,STGAT,ens_calib,9,30.09345037016862,2.5223190903048764,1,0.08906490597510154
beat_combo_nb,STGAT,raw,9,30.656458995960374,3.085327716096633,0,0.12208791672273937
beat_combo_nb,STGAT,calib,9,30.79927380456276,3.2281425246990123,1,0.051522983643396976
beat_combo,ASTGCN,ens_lognorm,9,30.982447601360043,3.411316321496298,2,0.04785116436716198
beat_combo_gauss,ASTGCN,ens_lognorm,9,31.146496242947048,3.5753649630833046,3,0.08010004817917356
beat_combo,ASTGCN,lognorm,9,31.2789733906699,3.7078421108061566,1,0.03312604904232814
beat_combo_gauss,ASTGCN,lognorm,9,31.83535925547282,4.264227975609076,3,0.05491306817345117
beat_combo_nb,ASTGCN,ens_lognorm,9,32.426448367317526,4.8553170874537805,1,0.04538894030620655
beat_combo_nb,ASTGCN,lognorm,9,32.63790496432894,5.066773684465196,1,0.038082233491684964
beat_combo,A3TGCN+STGAT+ASTGCN,multi_lognorm,9,33.616769841007184,6.045638561143439,0,0.010149032263973906
beat_combo,A3TGCN,ens_lognorm,9,33.72094110265092,6.149809822787171,0,0.01291738029907572
beat_combo,A3TGCN,lognorm,9,33.85854929471325,6.287418014849506,0,0.011330164079080171
beat_combo_nb,ASTGCN,ens_smear,9,33.961101275420575,6.389969995556829,5,0.19976826229192876
beat_combo_nb,ASTGCN,smear,9,34.14351485288431,6.57238357302057,4,0.18818733556026393
beat_combo_gauss,ASTGCN,ens_smear,9,34.66096877265732,7.089837492793578,5,0.1342396089319996
beat_combo_gauss,ASTGCN,smear,9,35.07954575350917,7.508414473645429,3,0.11196853595573322
beat_combo,ASTGCN,ens_smear,9,35.13951223777945,7.568380957915711,4,0.12190829036073254
beat_combo,ASTGCN,smear,9,35.292724366992225,7.721593087128481,3,0.11567061288620399
beat_combo,STGAT,ens_lognorm,9,37.22868866214759,9.657557382283848,0,0.0033516251020209
beat_combo,STGAT,lognorm,9,37.25891479970588,9.687783519842132,0,0.003256369444577
beat_combo_gauss,A3TGCN+STGAT+ASTGCN,multi_smear,9,37.69168990019988,10.120558620336135,1,0.07487497047895
beat_combo_nb,A3TGCN+STGAT+ASTGCN,multi_lognorm,9,37.7211122402056,10.149980960341853,0,0.0024594553556854092
beat_combo_nb,A3TGCN+STGAT+ASTGCN,multi_smear,9,38.018575513892785,10.447444234029037,0,0.05897936051216994
beat_combo,A3TGCN+STGAT+ASTGCN,multi_smear,9,38.15779519709032,10.58666391722658,1,0.057925136161088846
beat_combo_gauss,A3TGCN,ens_smear,9,38.413513948438876,10.842382668575128,1,0.04900091661830875
beat_combo_gauss,A3TGCN,smear,9,38.46891427186685,10.897782992003114,1,0.048234672904881225
beat_combo_gauss,STGAT,ens_lognorm,9,38.470410135057236,10.899278855193494,0,0.11324960483729656
beat_combo,A3TGCN,ens_smear,9,38.79514263910638,11.224011359242638,1,0.04536778507605184
beat_combo,A3TGCN,smear,9,38.85036826715556,11.279236987291815,0,0.04428881613140981
beat_combo_gauss,STGAT,lognorm,9,38.930679851108124,11.359548571244385,0,0.11611504129991401
beat_combo_gauss,A3TGCN+STGAT+ASTGCN,multi_lognorm,9,40.206898583306206,12.635767303442464,0,0.02451349160854604
beat_combo_nb,A3TGCN,ens_lognorm,9,40.94840390813748,13.377272628273731,0,0.0007151751813756692
beat_combo_nb,A3TGCN,ens_smear,9,41.07904219792172,13.507910918057977,0,0.02890147248399811
beat_combo_nb,A3TGCN,smear,9,41.249803639988606,13.678672360124864,0,0.02744727907570846
beat_combo_gauss,STGAT,ens_smear,9,41.27216588483922,13.701034604975474,1,0.04821361521240026
beat_combo_gauss,STGAT,smear,9,41.37941932775808,13.808288047894328,1,0.04742169582651425
beat_combo_nb,A3TGCN,lognorm,9,41.4784702626084,13.907338982744646,0,0.0005723669177092001
beat_combo_nb,STGAT,ens_lognorm,9,41.78877790950761,14.217646629643857,0,0.0028572757361321087
beat_combo,STGAT,ens_smear,9,42.0512702712767,14.48013899141295,0,0.024595945452839427
beat_combo,STGAT,smear,9,42.079073246767756,14.50794196690401,0,0.0242984706838565
beat_combo_nb,STGAT,ens_smear,9,42.306044108039956,14.734912828176213,0,0.012903800894959589
beat_combo_nb,STGAT,lognorm,9,42.43153880762232,14.860407527758573,0,0.00245061929102601
beat_combo_nb,STGAT,smear,9,42.96013467806801,15.389003398204263,0,0.010540831246517337
beat_combo_gauss,A3TGCN,ens_lognorm,9,56.63323571946886,29.06210443960511,1,0.007414965277817344
beat_combo_gauss,A3TGCN,lognorm,9,58.47274391739456,30.901612637530825,0,0.0070906998144955845
