arch,increment,origin,seed,RMSE,MAE,n_windows,n_artifact,RMSE_clean,MAE_clean,growth_max,growth_p99,growth_min
STGAT,spatial,0.55,3,27.908132553100586,13.667367935180664,68,0,27.908132553100586,13.667367935180664,0.2817254066467285,0.27552454829216005,-0.304689884185791
STGAT,spatial,0.55,4,26.891857147216797,13.344634056091309,68,0,26.891857147216797,13.344634056091309,0.04390668869018555,0.04390549659729004,-0.059964656829833984
STGAT,spatial,0.55,5,26.887269973754883,13.338961601257324,68,0,26.887269973754883,13.338961601257324,0.033191680908203125,0.03317582607269287,-0.04644977855951804
STGAT,spatial,0.55,6,27.68606948852539,13.697901725769043,68,0,27.68606948852539,13.697901725769043,0.2760573625564575,0.2597586417198207,-0.30097126960754395
STGAT,spatial,0.55,7,26.899211883544922,13.351241111755371,68,0,26.899211883544922,13.351241111755371,0.0526890754699707,0.05268096923828125,-0.05732226371765137
STGAT,spatial,0.55,8,26.889968872070312,13.354329109191895,68,0,26.889968872070312,13.354329109191895,0.040064096450805664,0.04006385922431946,-0.045737266540527344
STGAT,spatial,0.55,9,27.10761070251465,13.505399703979492,68,0,27.10761070251465,13.505399703979492,0.1591813564300537,0.15783543825149537,-0.22400617599487305
STGAT,spatial,0.55,10,26.975109100341797,13.378582954406738,68,0,26.975109100341797,13.378582954406738,0.1177968978881836,0.11738467454910279,-0.09263992309570312
STGAT,spatial,0.55,11,27.319337844848633,13.517457008361816,68,0,27.319337844848633,13.517457008361816,0.29724133014678955,0.2911109924316406,-0.24086737632751465
STGAT,spatial,0.55,12,28.118675231933594,13.712812423706055,68,0,28.118675231933594,13.712812423706055,0.18122100830078125,0.17907098770141602,-0.26640748977661133
STGAT,spatial,0.55,13,26.893470764160156,13.340889930725098,68,0,26.893470764160156,13.340889930725098,0.031538963317871094,0.03153848648071289,-0.03142952919006348
STGAT,spatial,0.55,14,27.33411407470703,13.608112335205078,68,0,27.33411407470703,13.608112335205078,0.2708888053894043,0.2659169578552246,-0.29275941848754883
STGAT,spatial,0.55,15,26.89820671081543,13.343241691589355,68,0,26.89820671081543,13.343241691589355,0.04153084754943848,0.041530609130859375,-0.040290117263793945
STGAT,spatial,0.55,16,26.992324829101562,13.385261535644531,68,0,26.992324829101562,13.385261535644531,0.15198063850402832,0.15052917599678042,-0.12591266632080078
STGAT,spatial,0.55,17,26.89449691772461,13.337236404418945,68,0,26.89449691772461,13.337236404418945,0.03139781951904297,0.031397104263305664,-0.03438544273376465
STGAT,spatial,0.55,18,27.339622497558594,13.534663200378418,68,0,27.339622497558594,13.534663200378418,0.21035337448120117,0.20814384937286376,-0.23283672332763672
STGAT,spatial,0.55,19,26.881113052368164,13.335243225097656,68,0,26.881113052368164,13.335243225097656,0.028134173912216065,0.02813411330368476,-0.03176785989483921
STGAT,spatial,0.7,0,39.063236236572266,17.212583541870117,68,0,39.063236236572266,17.212583541870117,0.053058624267578125,0.046876826286315926,-0.05936574935913086
STGAT,spatial,0.7,1,38.87223434448242,17.1407470703125,68,0,38.87223434448242,17.1407470703125,0.0208890438079834,0.020888925790786744,-0.03143352025968893
STGAT,spatial,0.7,2,38.83469009399414,17.121906280517578,68,0,38.83469009399414,17.121906280517578,0.012223958969116211,0.011124610900878906,-0.03779697227747458
STGAT,spatial,0.7,3,38.79536437988281,17.122167587280273,68,0,38.79536437988281,17.122167587280273,0.024549007415771484,0.02454853057861328,-0.04204582977564353
STGAT,spatial,0.7,4,38.85176086425781,17.12053108215332,68,0,38.85176086425781,17.12053108215332,0.031239688396453857,0.022281408309936523,-0.03897905349731445
STGAT,spatial,0.7,5,38.860923767089844,17.13153839111328,68,0,38.860923767089844,17.13153839111328,0.020573854446411133,0.02057361602783203,-0.04195928383142966
STGAT,spatial,0.7,6,38.81827163696289,17.105363845825195,68,0,38.81827163696289,17.105363845825195,0.040776968002319336,0.030977964401245117,-0.04365801811218262
STGAT,spatial,0.7,7,38.83845901489258,17.122682571411133,68,0,38.83845901489258,17.122682571411133,0.01137399673461914,0.011373758316040039,-0.035932538988900364
STGAT,spatial,0.7,8,38.82436752319336,17.115713119506836,68,0,38.82436752319336,17.115713119506836,0.012058258056640625,0.01176607608795166,-0.038481323455712424
STGAT,spatial,0.7,9,38.86642837524414,17.16925621032715,68,0,38.86642837524414,17.16925621032715,0.07063186168670654,0.06123168706893921,-0.10240983963012695
STGAT,spatial,0.7,10,38.872859954833984,17.146976470947266,68,0,38.872859954833984,17.146976470947266,0.03061389923095703,0.030613422393798828,-0.03486546728505813
STGAT,spatial,0.7,11,38.729034423828125,17.1068115234375,68,0,38.729034423828125,17.1068115234375,0.08536601066589355,0.0848915821313858,-0.06917226314544678
