arm,origin,seed,RMSE,MAE,n_windows,n_artifact,RMSE_clean,MAE_clean
AAGCN,0.7,2,38.61268615722656,16.740150451660156,68,0,38.61268615722656,16.740150451660156
AAGCN,0.85,0,55.40024948120117,14.383353233337402,68,6,21.306493759155273,8.843195915222168
AAGCN,0.85,1,53.843082427978516,13.934566497802734,68,6,20.655298233032227,8.685625076293945
AAGCN,0.85,2,53.26609802246094,13.72074031829834,68,6,20.809314727783203,8.692915916442871
AAGCN+adaptive,0.55,0,37.66212463378906,16.75907325744629,68,0,37.66212463378906,16.75907325744629
AAGCN+adaptive,0.55,1,29.77659034729004,14.113203048706055,68,0,29.77659034729004,14.113203048706055
AAGCN+adaptive,0.55,2,37.578548431396484,17.068431854248047,68,0,37.578548431396484,17.068431854248047
AAGCN+adaptive,0.7,0,39.895713806152344,17.650644302368164,68,0,39.895713806152344,17.650644302368164
AAGCN+adaptive,0.7,1,40.38261413574219,18.47010040283203,68,0,40.38261413574219,18.47010040283203
AAGCN+adaptive,0.7,2,47.394229888916016,20.008237838745117,68,0,47.394229888916016,20.008237838745117
AAGCN+adaptive,0.85,0,56.71312713623047,14.739287376403809,68,6,21.315732955932617,8.905660629272461
AAGCN+adaptive,0.85,1,52.4112663269043,13.666247367858887,68,6,20.498130798339844,8.733649253845215
AAGCN+adaptive,0.85,2,51.50120162963867,13.44860553741455,68,6,20.27461051940918,8.763487815856934
