arch,increment,origin,seed,RMSE,MAE,n_windows,n_artifact,RMSE_clean,MAE_clean,PICP,MPIW
AAGCN,probabilistic,0.7,1,38.219398498535156,16.470754623413086,68,0,38.219398498535156,16.470754623413086,0.9564705882352941,130.22669982910156
AAGCN,probabilistic,0.7,2,38.32704544067383,16.62193489074707,68,0,38.32704544067383,16.62193489074707,0.9552941176470588,130.61952209472656
AAGCN,probabilistic,0.85,0,53.242652893066406,13.904633522033691,68,6,21.184072494506836,8.811256408691406,0.9331372549019608,57.63705825805664
AAGCN,probabilistic,0.85,1,57.95456314086914,14.814905166625977,68,6,20.798852920532227,8.697153091430664,0.9249019607843137,60.425846099853516
AAGCN,probabilistic,0.85,2,56.58223342895508,14.446418762207031,68,6,20.76773452758789,8.702990531921387,0.9274509803921569,67.22840118408203
ASTGCN,base,0.55,0,28.779991149902344,13.347702026367188,68,0,28.779991149902344,13.347702026367188,,
ASTGCN,base,0.55,1,30.571182250976562,14.159162521362305,68,0,30.571182250976562,14.159162521362305,,
ASTGCN,base,0.55,2,28.942697525024414,13.626422882080078,68,0,28.942697525024414,13.626422882080078,,
ASTGCN,base,0.7,0,39.29496765136719,18.064056396484375,68,0,39.29496765136719,18.064056396484375,,
ASTGCN,base,0.7,1,37.39823913574219,16.741348266601562,68,0,37.39823913574219,16.741348266601562,,
ASTGCN,base,0.7,2,38.84209060668945,17.71677017211914,68,0,38.84209060668945,17.71677017211914,,
ASTGCN,base,0.85,0,63.857452392578125,15.91090202331543,68,6,21.498157501220703,8.9398775100708,,
ASTGCN,base,0.85,1,61.26958084106445,15.494531631469727,68,6,21.115812301635742,8.859498977661133,,
ASTGCN,base,0.85,2,61.975494384765625,15.670073509216309,68,6,21.44892692565918,8.986701965332031,,
ASTGCN,per_horizon_heads,0.55,0,29.52193832397461,13.770686149597168,68,0,29.52193832397461,13.770686149597168,,
ASTGCN,per_horizon_heads,0.55,1,32.356292724609375,14.690269470214844,68,0,32.356292724609375,14.690269470214844,,
ASTGCN,per_horizon_heads,0.55,2,29.446834564208984,13.63061237335205,68,0,29.446834564208984,13.63061237335205,,
ASTGCN,per_horizon_heads,0.7,0,37.79811096191406,17.306865692138672,68,0,37.79811096191406,17.306865692138672,,
ASTGCN,per_horizon_heads,0.7,1,37.58617401123047,17.288455963134766,68,0,37.58617401123047,17.288455963134766,,
ASTGCN,per_horizon_heads,0.7,2,38.2697639465332,17.345317840576172,68,0,38.2697639465332,17.345317840576172,,
ASTGCN,per_horizon_heads,0.85,0,65.41921997070312,16.173612594604492,68,6,21.66905403137207,9.008722305297852,,
ASTGCN,per_horizon_heads,0.85,1,61.69325256347656,15.610125541687012,68,6,21.37313461303711,8.933622360229492,,
ASTGCN,per_horizon_heads,0.85,2,62.1722297668457,15.666637420654297,68,6,21.356761932373047,8.931325912475586,,
ASTGCN,temporal_attention,0.55,0,30.91924476623535,14.290925025939941,68,0,30.91924476623535,14.290925025939941,,
ASTGCN,temporal_attention,0.55,1,31.018280029296875,14.274255752563477,68,0,31.018280029296875,14.274255752563477,,
ASTGCN,temporal_attention,0.55,2,28.877418518066406,13.43265438079834,68,0,28.877418518066406,13.43265438079834,,
ASTGCN,temporal_attention,0.7,0,39.21124267578125,17.756439208984375,68,0,39.21124267578125,17.756439208984375,,
ASTGCN,temporal_attention,0.7,1,37.67647171020508,17.40015411376953,68,0,37.67647171020508,17.40015411376953,,
ASTGCN,temporal_attention,0.7,2,38.422325134277344,17.15514373779297,68,0,38.422325134277344,17.15514373779297,,
ASTGCN,temporal_attention,0.85,0,65.76776123046875,16.17275619506836,68,6,21.68538475036621,8.962844848632812,,
ASTGCN,temporal_attention,0.85,1,52.946556091308594,13.707036018371582,68,6,20.609336853027344,8.551745414733887,,
ASTGCN,temporal_attention,0.85,2,64.92324829101562,16.14912223815918,68,6,21.768468856811523,9.056981086730957,,
ASTGCN,huber,0.55,0,27.915592193603516,13.221551895141602,68,0,27.915592193603516,13.221551895141602,,
ASTGCN,huber,0.55,1,29.830970764160156,13.894880294799805,68,0,29.830970764160156,13.894880294799805,,
ASTGCN,huber,0.55,2,28.501081466674805,13.266127586364746,68,0,28.501081466674805,13.266127586364746,,
ASTGCN,huber,0.7,0,37.966156005859375,17.359861373901367,68,0,37.966156005859375,17.359861373901367,,
ASTGCN,huber,0.7,1,37.996097564697266,17.062162399291992,68,0,37.996097564697266,17.062162399291992,,
ASTGCN,huber,0.7,2,38.501773834228516,17.544769287109375,68,0,38.501773834228516,17.544769287109375,,
ASTGCN,huber,0.85,0,63.6710205078125,15.900741577148438,68,6,21.49095344543457,8.962262153625488,,
ASTGCN,huber,0.85,1,61.98598861694336,15.616313934326172,68,6,21.22017478942871,8.884669303894043,,
ASTGCN,huber,0.85,2,62.466033935546875,15.74837589263916,68,6,21.54755973815918,8.99786376953125,,
ASTGCN,probabilistic,0.55,0,30.195608139038086,13.934463500976562,68,0,30.195608139038086,13.934463500976562,0.9790196078431372,150.4394073486328
ASTGCN,probabilistic,0.55,1,30.403884887695312,13.960919380187988,68,0,30.403884887695312,13.960919380187988,0.976078431372549,131.1382293701172
ASTGCN,probabilistic,0.55,2,29.75762367248535,14.00432014465332,68,0,29.75762367248535,14.00432014465332,0.9729411764705882,93.15428924560547
ASTGCN,probabilistic,0.7,0,37.93881607055664,17.463525772094727,68,0,37.93881607055664,17.463525772094727,0.9447058823529412,154.92271423339844
ASTGCN,probabilistic,0.7,1,39.02931594848633,17.639686584472656,68,0,39.02931594848633,17.639686584472656,0.9543137254901961,169.7521514892578
ASTGCN,probabilistic,0.7,2,38.46753692626953,17.059450149536133,68,0,38.46753692626953,17.059450149536133,0.9613725490196079,253.01014709472656
ASTGCN,probabilistic,0.85,0,62.393836975097656,15.836173057556152,68,6,21.434539794921875,9.058854103088379,0.9117647058823529,74.4975357055664
ASTGCN,probabilistic,0.85,1,63.87150192260742,15.981156349182129,68,6,21.442087173461914,8.984160423278809,0.9176470588235294,75.58897399902344
ASTGCN,probabilistic,0.85,2,52.11314010620117,13.488839149475098,68,6,20.313352584838867,8.575546264648438,0.9058823529411765,53.367652893066406
DCRNN,base,0.55,0,28.269474029541016,13.826643943786621,68,0,28.269474029541016,13.826643943786621,,
DCRNN,base,0.55,1,27.54529571533203,13.584393501281738,68,0,27.54529571533203,13.584393501281738,,
DCRNN,base,0.55,2,28.744047164916992,13.838370323181152,68,0,28.744047164916992,13.838370323181152,,
DCRNN,base,0.7,0,45.01881408691406,18.413225173950195,68,0,45.01881408691406,18.413225173950195,,
DCRNN,base,0.7,1,43.678524017333984,18.03664207458496,68,0,43.678524017333984,18.03664207458496,,
DCRNN,base,0.7,2,41.24736022949219,17.828346252441406,68,0,41.24736022949219,17.828346252441406,,
DCRNN,base,0.85,0,70.72688293457031,16.917879104614258,68,6,22.20050048828125,9.0995512008667,,
DCRNN,base,0.85,1,66.6388931274414,16.337892532348633,68,6,22.7015380859375,9.1708984375,,
DCRNN,base,0.85,2,74.27571105957031,17.36406898498535,68,6,22.310409545898438,9.114724159240723,,
DCRNN,per_horizon_heads,0.55,0,27.14912986755371,13.411179542541504,68,0,27.14912986755371,13.411179542541504,,
DCRNN,per_horizon_heads,0.55,1,28.74751853942871,14.495177268981934,68,0,28.74751853942871,14.495177268981934,,
DCRNN,per_horizon_heads,0.55,2,28.169294357299805,13.764902114868164,68,0,28.169294357299805,13.764902114868164,,
DCRNN,per_horizon_heads,0.7,0,46.519493103027344,18.686933517456055,68,0,46.519493103027344,18.686933517456055,,
DCRNN,per_horizon_heads,0.7,1,44.7797737121582,18.57366371154785,68,0,44.7797737121582,18.57366371154785,,
DCRNN,per_horizon_heads,0.7,2,50.54737854003906,19.124958038330078,68,0,50.54737854003906,19.124958038330078,,
