district,covariate,lag,r
Gampaha,era5_temperature_2m_mean,15,-0.04062457777845401
Gampaha,era5_temperature_2m_mean,16,-0.02459990301377788
Gampaha,era5_temperature_2m_mean,17,0.022574434170028905
Gampaha,era5_temperature_2m_mean,18,0.002479457495306802
Gampaha,era5_temperature_2m_mean,19,0.02019243899530725
Gampaha,era5_temperature_2m_mean,20,0.03428301945026431
Hambantota,era5_temperature_2m_mean,2,-0.007821286661086594
Hambantota,era5_temperature_2m_mean,3,-0.008140639206900745
Hambantota,era5_temperature_2m_mean,4,0.009351185685366517
Hambantota,era5_temperature_2m_mean,5,0.005907367284780726
Hambantota,era5_temperature_2m_mean,6,0.02032013084449189
Hambantota,era5_temperature_2m_mean,7,0.0341716199614501
Hambantota,era5_temperature_2m_mean,8,0.038524151909731914
Hambantota,era5_temperature_2m_mean,9,0.05605435788878186
Hambantota,era5_temperature_2m_mean,10,0.11437613071944255
Hambantota,era5_temperature_2m_mean,11,0.13640835965284176
Hambantota,era5_temperature_2m_mean,12,0.1642480930098414
Hambantota,era5_temperature_2m_mean,13,0.1894627894114634
Hambantota,era5_temperature_2m_mean,14,0.22776505735383387
Hambantota,era5_temperature_2m_mean,15,0.2610720945848492
Hambantota,era5_temperature_2m_mean,16,0.2364044920626732
Hambantota,era5_temperature_2m_mean,17,0.25147561535280927
Hambantota,era5_temperature_2m_mean,18,0.27427553128270626
Hambantota,era5_temperature_2m_mean,19,0.25640088006210043
Hambantota,era5_temperature_2m_mean,20,0.2552680101461615
Jaffna,era5_temperature_2m_mean,2,-0.3489417819519702
Jaffna,era5_temperature_2m_mean,3,-0.33302859635784615
Jaffna,era5_temperature_2m_mean,4,-0.32419554321005295
Jaffna,era5_temperature_2m_mean,5,-0.2784806030350598
Jaffna,era5_temperature_2m_mean,6,-0.23391019713138797
Jaffna,era5_temperature_2m_mean,7,-0.1835001903777248
Jaffna,era5_temperature_2m_mean,8,-0.13578332136135562
Jaffna,era5_temperature_2m_mean,9,-0.07147429216188701
Jaffna,era5_temperature_2m_mean,10,-0.030706952584174673
Jaffna,era5_temperature_2m_mean,11,0.023355032325427537
Jaffna,era5_temperature_2m_mean,12,0.06634296682469397
Jaffna,era5_temperature_2m_mean,13,0.10969756039191725
Jaffna,era5_temperature_2m_mean,14,0.14226066923738181
Jaffna,era5_temperature_2m_mean,15,0.1615253625860002
Jaffna,era5_temperature_2m_mean,16,0.18025718934409968
Jaffna,era5_temperature_2m_mean,17,0.20698044743422467
Jaffna,era5_temperature_2m_mean,18,0.22369636943186777
Jaffna,era5_temperature_2m_mean,19,0.22674466766502538
Jaffna,era5_temperature_2m_mean,20,0.23200952082563425
Kalutara,era5_temperature_2m_mean,2,-0.20030627551327507
Kalutara,era5_temperature_2m_mean,3,-0.19358256803041549
Kalutara,era5_temperature_2m_mean,4,-0.1617776844400641
Kalutara,era5_temperature_2m_mean,5,-0.17730289159806595
Kalutara,era5_temperature_2m_mean,6,-0.20072033059930097
Kalutara,era5_temperature_2m_mean,7,-0.22024141443478143
Kalutara,era5_temperature_2m_mean,8,-0.250360072369118
Kalutara,era5_temperature_2m_mean,9,-0.23933903606025206
Kalutara,era5_temperature_2m_mean,10,-0.19778280738894644
Kalutara,era5_temperature_2m_mean,11,-0.18512612004736992
Kalutara,era5_temperature_2m_mean,12,-0.15328707847163936
Kalutara,era5_temperature_2m_mean,13,-0.14931124759422254
Kalutara,era5_temperature_2m_mean,14,-0.10270273357778938
Kalutara,era5_temperature_2m_mean,15,-0.08705450886436228
Kalutara,era5_temperature_2m_mean,16,-0.03723807866049268
Kalutara,era5_temperature_2m_mean,17,-0.02869491455436592
Kalutara,era5_temperature_2m_mean,18,-0.033174436057304864
Kalutara,era5_temperature_2m_mean,19,-0.05875906972925254
Kalutara,era5_temperature_2m_mean,20,-0.06669935950999822
Kandy,era5_temperature_2m_mean,2,0.12390476458426644
Kandy,era5_temperature_2m_mean,3,0.18336597418487788
Kandy,era5_temperature_2m_mean,4,0.21743552161009275
Kandy,era5_temperature_2m_mean,5,0.2458622188191056
Kandy,era5_temperature_2m_mean,6,0.2825908396824528
Kandy,era5_temperature_2m_mean,7,0.3347420189973018
Kandy,era5_temperature_2m_mean,8,0.34736327594584976
Kandy,era5_temperature_2m_mean,9,0.38370315334693317
Kandy,era5_temperature_2m_mean,10,0.3877065314551285
Kandy,era5_temperature_2m_mean,11,0.3837513685703355
Kandy,era5_temperature_2m_mean,12,0.3741567719496934
Kandy,era5_temperature_2m_mean,13,0.377586696542182
Kandy,era5_temperature_2m_mean,14,0.3495064911264306
Kandy,era5_temperature_2m_mean,15,0.33376018538034213
Kandy,era5_temperature_2m_mean,16,0.28969967920993445
Kandy,era5_temperature_2m_mean,17,0.24503837488708222
